Month,Year,Region,Heart Disease
January,1936,Indiana (statewide),818
February,1936,Indiana (statewide),845
March,1936,Indiana (statewide),775
April,1936,Indiana (statewide),878
May,1936,Indiana (statewide),795
June,1936,Indiana (statewide),753
July,1936,Indiana (statewide),903
August,1936,Indiana (statewide),639
September,1936,Indiana (statewide),609
October,1936,Indiana (statewide),695
November,1936,Indiana (statewide),706
December,1936,Indiana (statewide),791
January,1937,Indiana (statewide),822
February,1937,Indiana (statewide),863
March,1937,Indiana (statewide),788
April,1937,Indiana (statewide),748
May,1937,Indiana (statewide),730
June,1937,Indiana (statewide),643
July,1937,Indiana (statewide),628
August,1937,Indiana (statewide),572
September,1937,Indiana (statewide),552
October,1937,Indiana (statewide),640
November,1937,Indiana (statewide),716
December,1937,Indiana (statewide),758
January,1938,Indiana (statewide),766
February,1938,Indiana (statewide),654
March,1938,Indiana (statewide),784
April,1938,Indiana (statewide),680
May,1938,Indiana (statewide),684
June,1938,Indiana (statewide),621
July,1938,Indiana (statewide),633
August,1938,Indiana (statewide),582
September,1938,Indiana (statewide),578
October,1938,Indiana (statewide),669
November,1938,Indiana (statewide),702
December,1938,Indiana (statewide),724
January,1939,Indiana (statewide),761
February,1939,Indiana (statewide),752
March,1939,Indiana (statewide),864
April,1939,Indiana (statewide),760
May,1939,Indiana (statewide),754
June,1939,Indiana (statewide),648
July,1939,Indiana (statewide),644
August,1939,Indiana (statewide),600
September,1939,Indiana (statewide),602
October,1939,Indiana (statewide),651
November,1939,Indiana (statewide),688
December,1939,Indiana (statewide),793
