Month,Year,Region,Bright's Disease
September,1924,Indiana (statewide),170
October,1924,Indiana (statewide),180
November,1924,Indiana (statewide),229
December,1924,Indiana (statewide),259
January,1925,Indiana (statewide),210
February,1925,Indiana (statewide),205
March,1925,Indiana (statewide),240
April,1925,Indiana (statewide),241
June,1925,Indiana (statewide),190
July,1925,Indiana (statewide),200
August,1925,Indiana (statewide),200
September,1925,Indiana (statewide),172
October,1925,Indiana (statewide),200
November,1925,Indiana (statewide),215
December,1925,Indiana (statewide),190
January,1926,Indiana (statewide),200
February,1926,Indiana (statewide),199
March,1926,Indiana (statewide),250
April,1926,Indiana (statewide),240
May,1926,Indiana (statewide),230
June,1926,Indiana (statewide),250
July,1926,Indiana (statewide),200
September,1926,Indiana (statewide),215
October,1926,Indiana (statewide),225
November,1926,Indiana (statewide),185
December,1926,Indiana (statewide),200
January,1927,Indiana (statewide),245
February,1927,Indiana (statewide),205
March,1927,Indiana (statewide),250
April,1927,Indiana (statewide),200
May,1927,Indiana (statewide),170
June,1927,Indiana (statewide),250
July,1927,Indiana (statewide),225
August,1927,Indiana (statewide),210
September,1927,Indiana (statewide),175
October,1927,Indiana (statewide),201
November,1927,Indiana (statewide),200
December,1927,Indiana (statewide),200
January,1928,Indiana (statewide),190
February,1928,Indiana (statewide),219
March,1928,Indiana (statewide),231
April,1928,Indiana (statewide),235
May,1928,Indiana (statewide),224
June,1928,Indiana (statewide),197
July,1928,Indiana (statewide),192
August,1928,Indiana (statewide),189
September,1928,Indiana (statewide),199
October,1928,Indiana (statewide),175
November,1928,Indiana (statewide),183
December,1928,Indiana (statewide),238
January,1929,Indiana (statewide),220
February,1929,Indiana (statewide),208
March,1929,Indiana (statewide),242
April,1929,Indiana (statewide),220
May,1929,Indiana (statewide),223
June,1929,Indiana (statewide),178
July,1929,Indiana (statewide),185
August,1929,Indiana (statewide),172
September,1929,Indiana (statewide),165
October,1929,Indiana (statewide),193
November,1929,Indiana (statewide),205
December,1929,Indiana (statewide),205
January,1930,Indiana (statewide),217
February,1930,Indiana (statewide),193
March,1930,Indiana (statewide),242
April,1930,Indiana (statewide),222
May,1930,Indiana (statewide),219
June,1930,Indiana (statewide),208
July,1930,Indiana (statewide),219
August,1930,Indiana (statewide),190
September,1930,Indiana (statewide),206
October,1930,Indiana (statewide),172
November,1930,Indiana (statewide),215
December,1930,Indiana (statewide),214
January,1931,Indiana (statewide),191
February,1931,Indiana (statewide),211
March,1931,Indiana (statewide),202
April,1931,Indiana (statewide),188
May,1931,Indiana (statewide),235
July,1931,Indiana (statewide),199
August,1931,Indiana (statewide),155
September,1931,Indiana (statewide),173
October,1931,Indiana (statewide),204
November,1931,Indiana (statewide),186
December,1931,Indiana (statewide),212
January,1932,Indiana (statewide),216
February,1932,Indiana (statewide),174
March,1932,Indiana (statewide),206
April,1932,Indiana (statewide),211
May,1932,Indiana (statewide),190
June,1932,Indiana (statewide),184
July,1932,Indiana (statewide),196
September,1932,Indiana (statewide),178
October,1932,Indiana (statewide),186
November,1932,Indiana (statewide),168
December,1932,Indiana (statewide),220
January,1933,Indiana (statewide),220
February,1933,Indiana (statewide),227
March,1933,Indiana (statewide),227
April,1933,Indiana (statewide),208
May,1933,Indiana (statewide),203
June,1933,Indiana (statewide),213
July,1933,Indiana (statewide),158
August,1933,Indiana (statewide),195
September,1933,Indiana (statewide),191
October,1933,Indiana (statewide),193
November,1933,Indiana (statewide),188
December,1933,Indiana (statewide),181
January,1934,Indiana (statewide),263
February,1934,Indiana (statewide),211
March,1934,Indiana (statewide),221
April,1934,Indiana (statewide),217
May,1934,Indiana (statewide),188
June,1934,Indiana (statewide),198
July,1934,Indiana (statewide),210
August,1934,Indiana (statewide),171
September,1934,Indiana (statewide),179
October,1934,Indiana (statewide),195
November,1934,Indiana (statewide),186
December,1934,Indiana (statewide),210
January,1935,Indiana (statewide),188
February,1935,Indiana (statewide),192
March,1935,Indiana (statewide),204
April,1935,Indiana (statewide),203
May,1935,Indiana (statewide),207
June,1935,Indiana (statewide),175
July,1935,Indiana (statewide),193
August,1935,Indiana (statewide),137
December,1935,Indiana (statewide),222
