Month,Year,Region,Population,Births,Total Deaths,Tuberculosis,Smallpox,Typhoid Fever,Diptheria,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Suicide,Accidental,Homicidal,Goiter,Cancer,Puerperal,Syphilis
January,1934,Indiana (statewide),3275000,3946,3408,146,0,2,13,15,5,6,371,11,96,48,179,15,14,321,19,17
January,1934,"Rural, population under 5,000",1605809,1904,1697,81,0,1,6,7,3,2,190,4,52,24,82,5,6,147,8,8
January,1934,"Urban, population over 5,000",1669191,2042,1711,65,0,1,7,8,2,4,181,7,44,24,97,10,8,174,11,9
February,1934,Indiana (statewide),3275000,3677,3159,133,0,4,11,18,16,10,329,7,130,45,164,18,12,295,20,20
February,1934,"Rural, population under 5,000",1605809,1733,1524,74,0,2,5,8,11,6,156,1,81,18,47,2,5,146,2,6
February,1934,"Urban, population over 5,000",1669191,1944,1635,59,0,2,6,10,5,4,173,6,49,27,117,16,7,149,18,14
March,1934,Indiana (statewide),3275000,3853,3572,164,0,1,11,13,38,22,318,10,90,55,214,17,9,285,27,17
March,1934,"Rural, population under 5,000",1605809,1898,1716,100,0,0,6,9,23,11,157,5,46,23,170,4,5,129,9,3
March,1934,"Urban, population over 5,000",1669191,1955,1856,64,0,1,5,4,15,11,161,5,44,32,44,13,4,156,18,14
April,1934,Indiana (statewide),3275000,3520,3259,139,0,7,1,9,53,9,243,9,59,57,210,29,13,315,21,18
April,1934,"Rural, population under 5,000",1605809,1641,1520,65,0,2,1,7,28,3,101,6,32,26,79,6,7,148,6,7
April,1934,"Urban, population over 5,000",1669191,1879,1739,74,0,5,0,2,25,6,142,3,27,31,131,23,6,167,15,11
May,1934,Indiana (statewide),3275000,3922,3202,174,0,7,4,12,53,25,201,3,54,44,219,9,10,313,30,16
May,1934,"Rural, population under 5,000",1605809,1919,1494,92,0,3,2,4,28,6,76,1,31,20,104,3,3,150,12,6
May,1934,"Urban, population over 5,000",1669191,2003,1708,82,0,4,2,8,25,19,125,2,23,24,115,6,7,163,18,10
June,1934,Indiana (statewide),3275000,3957,3193,152,0,9,5,6,24,18,130,24,18,43,280,22,13,293,27,16
June,1934,Rural,1605809,1841,1526,86,0,6,1,3,15,8,51,14,8,22,47,1,8,122,5,8
June,1934,Urban,1669191,2116,1667,66,0,3,4,3,9,10,79,10,10,21,133,21,5,171,22,8
July,1934,Indiana (statewide),3275000,4508,3537,138,0,7,2,4,6,20,84,79,18,43,447,24,14,337,29,18
July,1934,Rural,1605809,2057,1639,70,0,6,1,1,4,10,36,39,6,17,192,5,5,152,4,3
July,1934,Urban,1669191,2451,1898,68,0,1,1,3,2,10,48,40,12,26,255,19,9,185,25,15
August,1934,Indiana (statewide),3275000,4185,2833,114,0,20,3,4,1,23,90,88,25,51,240,16,9,248,22,18
August,1934,Rural,1605809,1954,1333,73,0,14,0,1,0,12,25,45,14,27,101,2,5,119,4,6
August,1934,Urban,1669191,2231,1500,41,0,6,3,3,1,11,65,43,11,24,139,14,4,129,18,12
September,1934,Indiana (statewide),3275000,4417,3001,132,1,17,11,4,1,13,148,72,35,51,236,16,5,316,14,24
September,1934,Rural,1605809,2040,1403,70,0,8,6,3,0,5,46,27,20,25,104,2,1,152,5,6
September,1934,Urban,1669191,2377,1598,62,1,9,5,1,1,8,102,45,15,26,132,14,4,164,9,18
October,1934,Indiana (statewide),3275000,4299,2952,147,0,12,19,9,3,8,167,59,39,51,238,14,5,275,11,22
October,1934,Rural,1605809,1990,1397,76,0,5,8,4,1,5,71,28,20,25,87,3,2,125,1,9
October,1934,Urban,1669191,2309,1555,71,0,7,11,5,2,3,96,31,19,26,151,11,3,150,10,13
November,1934,Indiana (statewide),3275000,3917,3115,125,0,6,16,8,3,16,255,12,50,44,254,14,10,334,23,23
November,1934,Rural,1605809,1830,1430,73,0,3,8,3,2,6,99,8,20,19,101,6,3,141,7,6
November,1934,Urban,1669191,2087,1685,52,0,3,8,5,1,6,156,4,30,25,153,8,7,193,16,17
December,1934,Indiana (statewide),3275000,3995,3517,141,0,7,24,13,7,13,406,8,89,37,257,15,13,305,26,18
December,1934,Rural,1605809,1877,1633,81,0,3,14,5,6,6,160,2,52,14,104,2,3,136,8,2
December,1934,Urban,1669191,2118,1884,60,0,4,10,8,1,7,246,6,37,23,153,13,10,169,18,16
