Month,Year,Region,Population,Births,Total Deaths,Tuberculosis,Smallpox,Typhoid Fever,Diptheria,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Suicide,Accidental,Homicidal,Goiter,Cancer,Puerperal,Syphilis
January,1931,Indiana (statewide),3238503,4621,3542,146,1,6,24,16,15,6,434,19,148,47,198,20,8,279,27,15
January,1931,"Rural, population under 5,000",1631564,2066,1806,91,0,1,14,12,3,3,226,7,86,23,93,4,2,147,10,10
January,1931,"Urban, population over 5,000",1606939,2555,1736,55,1,5,10,4,12,3,208,12,62,24,105,16,6,132,17,5
February,1931,Indiana (statewide),3238503,4259,3435,147,2,2,9,16,23,16,462,17,258,42,177,16,16,264,35,19
February,1931,"Rural, population under 5,000",1631564,1904,1559,76,1,1,4,8,12,8,178,10,123,21,57,5,9,119,9,5
February,1931,"Urban, population over 5,000",1606939,2355,1876,71,1,1,5,8,11,8,284,7,135,21,120,11,7,145,26,14
March,1931,Indiana (statewide),3238503,4610,3655,184,1,3,6,14,25,16,429,10,243,44,159,15,26,297,33,16
March,1931,"Rural, population under 5,000",1631564,2170,1779,100,1,2,4,11,13,5,188,6,143,22,72,3,13,124,9,6
March,1931,"Urban, population over 5,000",1606939,2440,1876,84,0,1,2,3,12,11,241,4,100,22,87,12,13,173,24,10
April,1931,Indiana (statewide),3238503,4144,3311,190,1,4,11,22,23,9,285,16,149,58,165,5,24,278,36,17
April,1931,"Rural, population under 5,000",1631564,1948,1620,91,1,0,7,19,13,5,138,9,91,26,62,3,8,131,17,5
April,1931,"Urban, population over 5,000",1606939,2196,1691,99,0,4,4,3,10,4,147,7,58,32,103,2,16,147,19,12
May,1931,Indiana (statewide),3238503,4289,3183,180,1,3,0,9,32,7,183,13,84,57,201,17,23,316,26,11
May,1931,"Rural, population under 5,000",1631564,1911,1513,100,1,1,0,2,14,2,67,8,57,21,77,4,6,148,9,4
May,1931,"Urban, population over 5,000",1606939,2378,1670,80,0,2,0,7,18,5,116,5,27,36,124,13,17,168,17,7
June,1931,Indiana (statewide),3238503,4314,2996,136,2,3,7,2,20,16,138,12,34,50,280,11,12,286,17,8
June,1931,Rural,1631564,1937,1397,69,2,3,5,1,6,5,53,7,21,31,122,6,4,147,3,5
June,1931,Urban,1606939,2377,1599,67,0,0,2,1,14,11,85,5,13,19,158,5,8,139,14,3
July,1931,Indiana (statewide),3238503,4602,2963,160,0,9,2,3,2,13,73,44,22,50,349,22,16,276,25,18
July,1931,Rural,1631564,2184,1462,91,0,5,2,1,1,7,28,25,7,20,171,8,12,134,1,8
July,1931,Urban,1606939,2418,1501,69,0,4,0,2,1,6,45,19,15,30,178,14,4,142,24,10
August,1931,Indiana (statewide),3238503,4591,2806,171,0,12,5,1,1,7,70,76,18,56,246,20,16,259,28,15
August,1931,Rural,1631564,2129,1377,96,0,5,2,1,1,2,22,36,10,24,135,5,5,141,8,8
August,1931,Urban,1606939,2462,1429,75,0,7,3,0,0,5,48,40,8,32,111,15,11,118,20,7
September,1931,Indiana (statewide),3238503,4367,2569,134,0,16,4,5,1,8,82,84,16,50,206,14,10,275,27,12
September,1931,Rural,1631564,2092,1223,63,0,9,2,2,0,3,32,35,7,25,98,4,5,146,4,4
September,1931,Urban,1606939,2275,1346,71,0,7,2,3,1,5,50,49,9,25,108,10,5,129,23,8
October,1931,Indiana (statewide),3238503,4346,2805,163,0,12,18,7,1,15,132,85,27,52,171,12,15,286,14,18
October,1931,Rural,1631564,2034,1303,69,0,8,12,2,1,7,61,39,12,18,80,1,6,125,6,10
October,1931,Urban,1606939,2312,1502,94,0,4,6,5,0,8,71,46,15,34,91,11,9,161,8,8
November,1931,Indiana (statewide),3238503,4020,2650,125,0,14,24,11,4,8,188,39,39,53,180,24,12,220,15,13
November,1931,Rural,1631564,1899,1226,61,0,12,14,9,2,5,78,13,22,18,67,6,6,102,5,6
November,1931,Urban,1606939,2121,1424,64,0,2,10,2,2,3,110,26,17,35,113,18,6,118,10,7
December,1931,Indiana (statewide),3238503,4168,2987,151,0,7,24,6,1,19,222,14,52,70,186,12,14,261,24,17
December,1931,Rural,1631564,1921,1415,85,0,5,11,2,1,13,92,10,30,27,61,5,4,123,12,7
December,1931,Urban,1606939,2247,1572,66,0,2,13,4,0,6,130,4,22,43,125,7,10,138,12,10
