Month,Year,Region,Population,Births,Total Deaths,Tuberculosis,Smallpox,Typhoid Fever,Diptheria,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Suicide,Accidental,Homicidal,Goiter,Cancer,Puerperal,Syphilis
January,1936,Indiana (statewide),3291000,4239,3776,158,0,2,26,17,1,5,489,11,113,25,246,6,11,316,18,17
January,1936,"Rural, population under 5,000",1630502,1908,1753,92,0,1,14,6,1,1,196,6,60,9,97,0,2,159,4,7
January,1936,"Urban, population over 5,000",1660498,2331,2023,66,0,1,12,11,0,4,293,5,53,16,149,6,9,157,14,10
February,1936,Indiana (statewide),3291000,4032,3723,136,0,1,10,13,1,3,512,10,125,29,219,10,13,294,24,15
February,1936,"Rural, population under 5,000",1630502,1820,1785,79,0,0,5,7,1,1,232,4,81,12,89,1,8,159,8,6
February,1936,"Urban, population over 5,000",1660498,2212,1938,57,0,1,5,6,0,2,280,6,44,17,130,9,5,135,16,9
March,1936,Indiana (statewide),3291000,4265,3560,147,0,1,13,14,1,4,352,10,135,34,239,23,13,275,25,16
March,1936,"Rural, population under 5,000",1630502,1950,1660,70,0,0,4,10,0,3,150,6,81,17,96,6,4,130,6,5
March,1936,"Urban, population over 5,000",1660498,2315,1900,77,0,1,9,4,1,1,202,4,54,17,143,17,9,145,19,11
April,1936,Indiana (statewide),3291000,3640,3772,151,0,5,8,22,0,7,458,8,215,43,211,17,16,289,22,10
April,1936,"Rural, population under 5,000",1630502,1723,1712,81,0,4,1,10,0,1,171,4,115,18,88,2,4,126,3,5
April,1936,"Urban, population over 5,000",1660498,1917,2060,70,0,1,7,12,0,6,287,4,100,25,123,15,12,163,19,5
May,1936,Indiana (statewide),3429000,3675,3432,132,0,2,4,8,1,5,290,12,117,47,245,12,16,344,17,13
May,1936,"Rural, population under 5,000",1769000,1780,1607,72,0,1,1,6,0,1,113,7,75,24,104,4,6,171,1,6
May,1936,"Urban, population over 5,000",1660000,1967,1825,60,0,1,3,2,1,4,177,5,42,23,141,8,10,173,16,7
June,1936,Indiana (statewide),3429000,3985,3086,135,0,2,3,4,0,5,171,13,32,36,263,12,10,352,22,23
June,1936,Rural,1769000,2247,1661,61,0,0,3,4,0,1,114,9,17,14,137,9,7,196,18,14
June,1936,Urban,1660000,1738,1425,74,0,2,0,0,0,4,57,4,15,22,126,3,3,156,4,9
July,1936,Indiana (statewide),3429000,4414,4053,164,0,4,3,5,0,4,144,38,29,46,702,26,10,307,22,24
July,1936,Rural,1769000,1861,1824,92,0,1,0,1,0,2,48,19,9,15,291,1,1,143,5,7
July,1936,Urban,1660000,2553,2229,72,0,3,3,4,0,2,96,19,20,31,411,25,9,164,17,17
August,1936,Indiana (statewide),3429000,4393,2980,117,0,14,0,2,0,7,90,64,15,44,303,16,9,324,22,13
August,1936,Rural,1769000,1936,1370,67,0,8,0,0,0,1,28,30,7,22,136,5,5,144,7,3
August,1936,Urban,1660000,2457,1610,50,0,6,0,2,0,6,62,34,8,22,167,11,4,180,15,10
September,1936,Indiana (statewide),3429000,4369,2652,123,0,7,4,3,0,3,91,51,15,34,238,13,12,293,17,19
September,1936,Rural,1769000,2003,1174,59,0,3,0,0,0,1,40,11,7,14,96,2,3,236,6,8
September,1936,Urban,1660000,2366,1478,64,0,4,4,3,0,2,51,40,8,20,142,11,9,57,11,11
October,1936,Indiana (statewide),3429000,4159,2981,108,0,8,12,7,0,1,144,58,30,42,251,6,9,303,17,25
October,1936,Rural,1769000,1827,1361,66,0,6,1,2,0,0,45,25,12,21,103,1,5,146,2,10
October,1936,Urban,1660000,2332,1620,42,0,2,11,5,0,1,99,33,18,21,148,5,4,157,15,15
November,1936,Indiana (statewide),3429000,3902,3034,129,0,6,6,10,0,3,227,22,39,38,267,13,6,300,11,21
November,1936,Rural,1769000,1709,1416,76,0,4,4,3,0,1,102,12,18,14,113,2,1,131,3,9
November,1936,Urban,1660000,2193,1618,53,0,2,2,7,0,2,125,10,21,24,154,11,5,169,8,12
December,1936,Indiana (statewide),3429000,4020,3458,125,0,5,10,9,1,7,387,10,108,36,288,12,10,338,21,24
December,1936,Rural,1769000,1793,1558,67,0,3,3,4,0,3,164,5,50,14,128,3,3,150,3,10
December,1936,Urban,1660000,2227,1900,58,0,2,7,5,1,4,223,5,58,22,160,9,7,188,18,14
