Month,Year,Region,Population,Births,Total Deaths,Tuberculosis,Smallpox,Typhoid Fever,Diptheria,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Suicide,Accidental,Homicidal,Goiter,Cancer,Puerperal,Syphilis
January,1932,Indiana (statewide),3238503,4290,3257,183,0,2,25,5,1,19,320,11,82,53,155,14,11,312,22,26
January,1932,"Rural, population under 5,000",1631564,2008,1617,98,0,2,15,2,1,18,159,7,47,20,64,3,3,147,6,10
January,1932,"Urban, population over 5,000",1606939,2282,1640,85,0,0,10,3,0,1,161,4,35,33,91,11,8,165,16,16
February,1932,Indiana (statewide),3238503,4235,3263,141,0,5,17,8,4,24,359,7,161,51,140,21,13,267,28,18
February,1932,"Rural, population under 5,000",1631564,2055,1583,74,0,1,10,4,1,16,167,2,91,27,63,9,8,124,5,6
February,1932,"Urban, population over 5,000",1606939,2180,1680,67,0,4,7,4,3,8,192,5,70,24,77,12,5,143,23,12
March,1932,Indiana (statewide),3238503,4164,3822,189,0,1,11,17,0,33,433,18,313,49,157,13,14,301,22,20
March,1932,"Rural, population under 5,000",1631564,2075,1969,90,0,1,7,13,0,15,236,7,185,28,70,4,6,133,9,8
March,1932,"Urban, population over 5,000",1606939,2089,1853,99,0,0,4,4,0,18,197,11,128,21,87,9,8,168,13,12
April,1932,Indiana (statewide),3238503,3491,3138,183,0,1,9,9,4,17,289,22,157,58,166,18,13,262,23,13
April,1932,"Rural, population under 5,000",1631564,1721,1573,93,0,0,5,7,3,11,163,7,109,23,77,6,6,135,7,7
April,1932,"Urban, population over 5,000",1606939,1770,1565,90,0,1,4,2,1,6,126,15,48,35,89,12,7,127,16,6
May,1932,Indiana (statewide),3238503,3991,3063,186,0,5,4,7,0,20,184,23,78,63,176,15,18,298,21,20
May,1932,"Rural, population under 5,000",1631564,2002,1554,98,0,2,0,3,0,7,79,12,57,33,83,2,7,156,10,8
May,1932,"Urban, population over 5,000",1606939,1989,1509,88,0,3,4,4,0,13,105,11,21,30,93,13,11,142,11,12
June,1932,Indiana (statewide),3238503,4033,2799,163,1,2,5,5,4,16,120,33,30,48,217,11,12,273,18,15
June,1932,Rural,1631564,1981,1369,94,1,1,3,2,3,8,47,21,20,24,109,3,8,123,4,5
June,1932,Urban,1606939,2052,1430,69,0,1,2,3,1,8,73,12,10,24,108,8,4,150,14,10
July,1932,Indiana (statewide),3238503,4344,2865,138,0,8,6,2,1,7,77,68,17,53,210,28,15,312,28,24
July,1932,Rural,1631564,2042,1366,63,0,7,1,1,1,4,33,33,11,25,110,8,7,147,9,7
July,1932,Urban,1606939,2302,1499,75,0,1,5,1,0,3,44,35,6,28,100,20,8,165,19,17
August,1932,Indiana (statewide),3238503,4322,2717,137,0,23,6,1,0,9,79,81,20,45,240,30,19,291,13,12
August,1932,Rural,1631564,2079,1321,76,0,17,2,0,0,3,33,30,12,23,107,11,11,141,4,7
August,1932,Urban,1606939,2243,1396,61,0,6,4,1,0,6,46,51,8,22,133,19,8,150,9,5
September,1932,Indiana (statewide),3238503,4303,2600,135,0,12,10,7,0,7,90,56,22,40,190,14,23,256,30,19
September,1932,Rural,1631564,2129,1299,70,0,7,7,3,0,4,43,29,14,18,90,5,7,37,12,4
September,1932,Urban,1606939,2174,1301,65,0,5,3,4,0,3,47,27,8,22,100,9,16,129,18,15
October,1932,Indiana (statewide),3238503,4289,2754,121,0,12,17,4,0,0,152,33,27,51,200,16,8,321,17,15
October,1932,Rural,1631564,2113,1333,67,0,7,12,1,0,0,70,16,18,28,87,5,1,162,4,4
October,1932,Urban,1606939,2176,1421,54,0,5,5,3,0,0,82,17,9,23,113,11,7,159,13,11
November,1932,Indiana (statewide),3238503,3924,2955,168,0,9,30,13,0,4,227,15,52,47,199,11,12,279,19,12
November,1932,Rural,1631564,1912,1424,82,0,6,15,9,0,1,109,11,28,23,75,6,5,132,7,4
November,1932,Urban,1606939,2012,1531,86,0,3,15,4,0,3,118,4,24,24,124,5,7,147,12,8
December,1932,Indiana (statewide),3238503,4054,3906,154,1,3,24,8,0,12,451,10,435,49,209,17,10,299,16,21
December,1932,Rural,1631564,1968,1909,92,1,1,11,5,0,6,198,2,126,27,88,3,5,133,5,9
December,1932,Urban,1606939,2086,1997,62,0,2,13,3,0,6,253,8,309,22,121,14,5,166,11,12
