Month,Year,Region,Population,Births,Total Deaths,Tuberculosis,Smallpox,Typhoid Fever,Diptheria,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Suicide,Accidental,Homicidal,Goiter,Cancer,Puerperal,Syphilis
January,1933,Indiana (statewide),3275000,4170,3671,171,0,3,18,13,1,7,347,14,402,70,171,14,10,312,28,15
January,1933,"Rural, population under 5,000",1605809,1960,1878,83,0,3,6,10,0,5,170,6,267,28,61,4,3,158,9,4
January,1933,"Urban, population over 5,000",1669191,2210,1793,88,0,0,12,3,1,2,177,8,135,42,110,10,7,154,19,11
February,1933,Indiana (statewide),3275000,3792,3106,153,0,2,10,4,0,6,283,15,145,48,163,10,13,262,17,17
February,1933,"Rural, population under 5,000",1605809,1899,1553,85,0,2,5,3,0,4,137,7,89,21,75,0,5,126,8,7
February,1933,"Urban, population over 5,000",1669191,1893,1553,68,0,0,5,1,0,2,146,8,56,27,88,10,8,136,9,10
March,1933,Indiana (statewide),3275000,4254,3261,161,0,1,13,11,0,7,259,12,101,65,154,11,14,286,17,26
March,1933,"Rural, population under 5,000",1605809,2138,1611,84,0,1,4,7,0,2,113,5,64,34,62,4,6,123,7,5
March,1933,"Urban, population over 5,000",1669191,2116,1650,77,0,0,9,4,0,5,146,7,37,31,92,7,8,163,10,21
April,1933,Indiana (statewide),3275000,3821,3037,143,0,5,6,7,2,4,195,11,70,61,173,24,17,272,27,17
April,1933,"Rural, population under 5,000",1605809,1891,1485,79,0,1,4,4,2,0,97,5,42,31,69,12,3,143,10,8
April,1933,"Urban, population over 5,000",1669191,1930,1552,64,0,4,2,3,0,4,98,6,28,30,104,12,14,129,17,9
May,1933,Indiana (statewide),3275000,3849,2891,166,0,5,5,4,4,5,133,13,51,54,190,16,13,298,20,26
May,1933,"Rural, population under 5,000",1605809,1939,1379,89,0,5,2,0,2,3,47,9,20,25,82,3,6,152,4,11
May,1933,"Urban, population over 5,000",1669191,1910,1512,77,0,0,3,4,2,2,86,4,31,29,108,13,7,146,16,15
June,1933,Indiana (statewide),3275000,3780,3003,148,0,13,2,3,2,7,96,29,16,47,267,8,14,309,19,27
June,1933,Rural,1605809,1869,1442,80,0,7,2,2,1,3,36,19,9,24,121,2,7,143,5,7
June,1933,Urban,1669191,1911,1561,68,0,6,0,1,1,4,60,10,7,23,146,6,7,166,14,20
July,1933,Indiana (statewide),3275000,4034,2862,141,0,9,7,4,2,6,84,55,19,54,271,14,6,330,27,16
July,1933,Rural,1605809,1975,1394,70,0,8,5,1,2,2,25,26,12,27,128,6,5,158,11,7
July,1933,Urban,1669191,2059,1468,71,0,1,2,3,0,4,59,29,7,27,143,8,1,172,16,9
August,1933,Indiana (statewide),3275000,3989,2706,146,1,10,4,0,0,6,93,71,9,64,235,10,11,262,21,20
August,1933,Rural,1605809,1963,1273,75,1,5,1,0,0,3,40,29,4,28,100,3,5,130,5,8
August,1933,Urban,1669191,2026,1433,71,0,5,3,0,0,3,53,42,5,36,135,7,6,132,16,12
September,1933,Indiana (statewide),3275000,3563,2744,143,0,11,6,3,0,1,96,64,28,56,235,18,10,270,23,21
September,1933,Rural,1605809,1701,1285,68,0,7,4,2,0,0,32,32,15,22,92,4,5,135,5,8
September,1933,Urban,1669191,1862,1459,75,0,4,2,1,0,1,64,32,13,34,143,14,5,135,18,13
October,1933,Indiana (statewide),3275000,3688,2985,148,0,14,24,6,1,7,168,42,44,45,214,16,10,262,23,22
October,1933,Rural,1605809,1781,1457,85,0,10,12,3,0,4,70,21,17,22,95,1,3,127,2,8
October,1933,Urban,1669191,1907,1528,63,0,4,12,3,1,3,98,21,27,23,119,15,7,135,21,14
November,1933,Indiana (statewide),3275000,3776,2952,133,0,11,23,17,0,5,192,18,45,43,236,10,12,313,19,15
November,1933,Rural,1605809,1814,1399,72,0,6,13,5,0,1,81,7,23,19,111,1,5,169,3,8
November,1933,Urban,1669191,1962,1554,61,0,5,10,12,0,4,111,11,22,24,125,9,7,144,16,7
December,1933,Indiana (statewide),3275000,3940,3109,150,0,5,28,11,1,7,242,15,56,47,242,18,10,267,23,15
December,1933,Rural,1605809,1873,1463,77,0,2,18,7,1,2,85,6,28,18,97,4,6,121,5,5
December,1933,Urban,1669191,2067,1646,73,0,3,10,4,0,5,157,9,28,29,145,14,4,146,18,10
