Month,Year,Region,Population,Births,Total Deaths,Tuberculosis,Smallpox,Typhoid Fever,Diptheria,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Suicide,Accidental,Homicidal,Goiter,Cancer,Puerperal,Syphilis
January,1935,Indiana (statewide),3275000,4112,3697,161,0,4,8,22,18,22,476,6,221,44,220,16,8,310,30,17
January,1935,"Rural, population under 5,000",1605809,1890,1740,84,0,3,4,7,9,15,218,3,118,12,95,4,5,141,5,6
January,1935,"Urban, population over 5,000",1669191,2222,1957,77,0,1,4,15,9,7,258,3,103,32,125,12,3,169,25,11
February,1935,Indiana (statewide),3291000,3693,3188,133,0,3,11,15,15,15,344,7,144,32,186,9,15,293,14,15
February,1935,"Rural, population under 5,000",1630502,1680,1532,71,0,2,4,5,7,12,152,3,88,21,83,4,2,128,7,5
February,1935,"Urban, population over 5,000",1660498,2013,1656,62,0,1,7,10,8,3,192,4,56,11,103,5,13,165,7,10
March,1935,Indiana (statewide),3291000,4097,3559,146,0,2,11,16,23,13,341,8,127,55,218,15,9,339,27,22
March,1935,"Rural, population under 5,000",1630502,1908,1641,75,0,0,4,6,16,10,145,4,68,21,80,6,5,154,9,5
March,1935,"Urban, population over 5,000",1660498,2189,1918,71,0,2,7,10,7,3,196,4,59,34,138,9,4,185,18,17
April,1935,Indiana (statewide),3291000,3573,3104,141,0,1,3,8,18,14,281,8,77,49,156,10,14,325,30,16
April,1935,"Rural, population under 5,000",1630502,1681,1480,81,0,1,0,7,13,10,114,2,32,21,66,2,5,156,9,6
April,1935,"Urban, population over 5,000",1660498,1892,1624,60,0,0,3,1,5,4,167,6,45,28,90,8,9,169,21,10
May,1935,Indiana (statewide),3291000,3530,3167,152,0,3,5,7,3,19,246,9,36,31,182,10,16,312,19,17
May,1935,"Rural, population under 5,000",1630502,1629,1440,81,0,1,1,2,1,15,95,1,18,15,64,2,7,147,10,5
May,1935,"Urban, population over 5,000",1660498,1901,1727,71,0,2,4,5,2,4,151,8,18,16,118,8,9,165,9,12
June,1935,Indiana (statewide),3291000,4080,2860,117,0,1,7,3,5,11,149,13,26,49,227,17,11,299,14,18
June,1935,Rural,1630502,1872,1337,66,0,1,0,2,2,8,52,7,15,26,88,7,6,142,4,5
June,1935,Urban,1660498,2208,1523,51,0,0,7,1,3,3,97,6,11,23,139,10,5,157,10,13
July,1935,Indiana (statewide),3291000,4434,2882,133,0,11,3,2,4,11,97,32,14,55,238,17,18,306,19,19
July,1935,Rural,1630502,2013,1344,72,0,3,1,0,1,3,31,12,8,33,95,1,7,144,6,7
July,1935,Urban,1660498,2421,1538,61,0,8,2,2,3,8,66,20,6,22,143,16,11,162,13,12
August,1935,Indiana (statewide),3291000,4409,2778,133,0,8,3,6,0,8,92,40,19,40,268,8,18,306,19,18
August,1935,Rural,1630502,2084,1280,73,0,3,1,2,0,3,29,15,11,25,128,2,6,149,8,6
August,1935,Urban,1660498,2325,1498,60,0,5,2,4,0,5,63,25,8,15,140,6,12,157,11,12
September,1935,Indiana (statewide),3291000,4178,2847,101,0,7,11,4,1,8,123,40,30,30,202,14,21,319,17,12
September,1935,Rural,1630502,1949,1295,47,0,4,7,2,1,3,40,13,15,15,101,2,8,131,7,4
September,1935,Urban,1660498,2229,1552,54,0,3,4,2,0,5,83,27,15,15,111,12,13,188,10,8
October,1935,Indiana (statewide),3291000,4084,3019,108,0,8,20,4,1,4,203,27,29,48,235,8,22,318,17,10
October,1935,Rural,1630502,1943,1356,54,0,3,10,1,0,4,73,9,13,16,102,3,9,154,7,5
October,1935,Urban,1660498,2141,1663,54,0,5,10,3,1,0,130,18,16,32,133,5,13,164,10,5
November,1935,Indiana (statewide),3291000,3868,2984,117,0,3,23,12,2,4,222,12,33,35,225,10,10,303,21,12
November,1935,Rural,1630502,1761,1422,57,0,2,13,8,2,3,91,5,16,15,86,1,3,135,8,3
November,1935,Urban,1660498,2107,1562,60,0,1,10,4,0,1,131,7,17,20,139,9,7,168,13,9
December,1935,Indiana (statewide),3291000,4018,3619,141,0,6,28,17,0,3,387,13,85,28,256,17,15,338,23,13
December,1935,Rural,1630502,1861,1695,75,0,3,16,7,0,2,158,5,53,9,105,5,3,160,7,6
December,1935,Urban,1660498,2157,1924,66,0,3,12,10,0,1,229,8,32,19,151,12,12,178,16,7
