Month,Year,Region,Population,Births,Total Deaths,Tuberculosis,Smallpox,Typhoid Fever,Diptheria,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Suicide,Accidental,Homicidal,Goiter,Cancer,Puerperal,Syphilis
January,1939,Indiana (statewide),3467000,4691,3477,101,0,0,5,7,0,4,379,9,58,44,184,8,16,348,23,22
January,1939,"Rural, population under 5,000",1807000,1856,1570,59,0,0,4,1,0,2,158,5,26,13,68,1,6,149,4,10
January,1939,"Urban, population over 5,000",1660000,2835,1907,42,0,0,1,6,0,2,221,4,32,31,116,7,10,199,19,12
February,1939,Indiana (statewide),3467000,4270,3354,114,4,1,4,6,3,0,325,12,149,39,163,6,13,285,14,25
February,1939,"Rural, population under 5,000",1807000,1736,1538,56,2,0,1,3,1,0,125,5,74,16,66,1,4,137,4,17
February,1939,"Urban, population over 5,000",1660000,2534,1816,58,2,1,3,3,2,0,200,7,75,23,97,5,9,148,10,8
March,1939,Indiana (statewide),3467000,4602,4186,166,1,1,7,8,0,5,491,3,389,49,185,4,10,336,20,14
March,1939,"Rural, population under 5,000",1807000,1917,1976,84,0,0,4,3,0,3,195,1,226,27,86,2,2,162,3,7
March,1939,"Urban, population over 5,000",1660000,2685,2210,82,1,1,3,5,0,2,296,2,163,22,99,2,8,174,17,7
April,1939,Indiana (statewide),3429000,4198,3235,132,2,5,2,7,0,7,206,7,101,56,163,11,14,316,22,15
April,1939,"Rural, population under 5,000",1769000,1743,1485,70,2,2,0,0,0,3,86,5,52,22,58,3,4,136,11,11
April,1939,"Urban, population over 5,000",1660000,2455,1750,62,0,3,2,7,0,4,120,2,49,34,105,8,10,180,11,4
May,1939,Indiana (statewide),3429000,4253,3225,110,1,2,6,4,1,6,161,12,55,56,206,8,7,359,13,16
May,1939,"Rural, population under 5,000",1769000,1771,1503,62,0,1,1,3,1,4,56,6,28,33,94,1,1,163,5,8
May,1939,"Urban, population over 5,000",1660000,2482,1722,48,1,1,5,1,0,2,105,6,27,23,112,7,6,196,8,8
June,1939,Indiana (statewide),3429000,4173,2843,112,0,8,2,3,1,4,81,14,14,52,230,17,16,289,22,23
June,1939,Rural,1769000,1705,1358,58,0,6,0,0,1,2,25,3,8,28,103,7,8,139,5,13
June,1939,Urban,1660000,2468,1485,54,0,2,2,3,0,2,56,11,6,24,127,10,8,150,17,10
July,1939,Indiana (statewide),3429000,4823,2816,118,0,4,3,2,2,5,82,33,6,40,239,9,14,333,20,14
July,1939,Rural,1769000,1979,1327,68,0,1,1,1,1,1,29,15,2,25,123,2,4,158,2,4
July,1939,Urban,1660000,2844,1489,50,0,3,2,1,1,4,53,18,4,15,116,7,10,175,18,10
August,1939,Indiana (statewide),3429000,4775,2800,101,0,7,3,1,0,5,71,36,10,51,270,8,6,335,19,17
August,1939,Rural,1769000,1975,1267,54,0,6,1,0,0,2,36,16,2,24,119,2,3,156,6,11
August,1939,Urban,1660000,2800,1533,47,0,1,2,1,0,3,35,20,8,27,151,6,3,179,13,6
September,1939,Indiana (statewide),3429000,4518,2778,93,0,4,5,1,0,10,91,23,11,48,200,13,13,298,12,24
September,1939,Rural,1769000,1942,1129,57,0,1,2,0,0,1,40,6,5,20,77,1,5,122,6,12
September,1939,Urban,1660000,2576,1649,36,0,3,3,1,0,9,51,17,6,28,133,12,8,176,6,12
October,1939,Indiana (statewide),3429000,4570,2848,97,0,3,3,2,0,8,112,26,16,43,213,14,16,300,18,14
October,1939,Rural,1769000,1855,1277,58,0,2,2,2,0,1,35,11,11,22,87,2,3,122,4,8
October,1939,Urban,1660000,2715,1571,39,0,1,1,0,0,7,77,15,5,21,126,12,13,178,14,6
November,1939,Indiana (statewide),3429000,4016,2950,105,0,3,8,3,1,3,152,8,35,28,210,8,9,310,11,23
November,1939,Rural,1769000,1628,1343,70,0,1,4,1,0,0,62,1,22,14,95,2,6,126,4,12
November,1939,Urban,1660000,2388,1607,35,0,2,4,2,1,3,90,7,13,14,115,6,3,184,7,11
December,1939,Indiana (statewide),3429000,4264,3306,101,0,1,6,5,0,4,194,4,44,40,204,13,9,317,11,21
December,1939,Rural,1769000,1817,1468,59,0,1,2,3,0,3,82,1,18,16,91,3,7,121,4,11
December,1939,Urban,1660000,2447,1838,42,0,0,4,2,0,1,112,3,26,24,113,10,2,196,7,10
