Month,Year,Region,Population,Births,Total Deaths,Tuberculosis,Smallpox,Typhoid Fever,Diptheria,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Suicide,Accidental,Homicidal,Goiter,Cancer,Puerperal,Syphilis
January,1937,Indiana (statewide),3429000,4175,3905,148,0,0,8,17,0,9,629,10,295,43,209,13,7,303,14,22
January,1937,"Rural, population under 5,000",1769000,1780,1754,82,0,0,2,6,0,5,261,2,149,17,74,3,4,142,5,11
January,1937,"Urban, population over 5,000",1660000,2395,2151,66,0,0,6,11,0,4,368,8,146,26,135,10,3,161,9,11
February,1937,Indiana (statewide),3429000,3804,3803,169,1,1,1,19,2,13,540,12,301,35,207,12,14,287,11,19
February,1937,"Rural, population under 5,000",1769000,1687,1764,89,1,1,0,5,2,8,217,3,176,20,80,2,7,127,1,9
February,1937,"Urban, population over 5,000",1660000,2117,2039,80,0,0,1,14,0,5,323,9,125,15,127,10,7,160,10,10
March,1937,Indiana (statewide),3429000,4453,3598,152,0,0,5,12,1,21,389,11,180,57,212,11,13,295,18,17
March,1937,"Rural, population under 5,000",1769000,1965,1661,91,0,0,3,6,0,11,142,5,107,23,75,0,3,139,8,11
March,1937,"Urban, population over 5,000",1660000,2488,1937,61,0,0,2,6,1,10,247,6,73,34,137,11,10,156,10,6
April,1937,Indiana (statewide),3429000,3682,3307,130,1,1,6,16,1,9,271,9,94,42,212,13,14,309,22,17
April,1937,"Rural, population under 5,000",1769000,1651,1522,68,1,1,1,7,0,5,111,3,48,20,86,2,7,131,7,7
April,1937,"Urban, population over 5,000",1660000,2031,1785,62,0,0,5,9,1,4,160,6,46,22,126,11,7,178,15,10
May,1937,Indiana (statewide),3429000,3912,3239,137,1,1,1,8,4,13,203,17,49,54,236,12,14,342,17,25
May,1937,"Rural, population under 5,000",1769000,1727,1472,71,1,1,0,3,0,6,82,5,24,23,110,3,8,140,8,8
May,1937,"Urban, population over 5,000",1660000,2185,1767,66,0,0,1,5,4,7,121,12,25,31,126,9,6,202,9,17
June,1937,Indiana (statewide),3429000,3750,2893,111,0,4,2,4,2,15,106,23,21,55,250,12,11,268,16,16
June,1937,Rural,1769000,1603,1300,64,0,2,1,2,0,8,33,12,7,30,109,4,5,118,2,7
June,1937,Urban,1660000,2147,1593,47,0,2,1,2,2,7,73,11,14,25,141,8,6,150,14,9
July,1937,Indiana (statewide),3429000,4533,2982,132,0,13,2,4,1,22,77,51,15,43,312,8,12,338,17,18
July,1937,Rural,1769000,1926,1365,84,0,3,1,1,0,12,24,17,8,18,151,3,4,133,2,5
July,1937,Urban,1660000,2607,1617,48,0,10,1,3,1,10,53,34,7,25,161,5,8,205,15,13
August,1937,Indiana (statewide),3429000,4697,2850,107,0,6,5,0,0,21,85,55,17,58,280,22,12,339,16,17
August,1937,Rural,1769000,1893,1209,50,0,2,1,0,0,5,27,18,9,29,121,6,3,145,3,7
August,1937,Urban,1660000,2804,1641,57,0,4,4,0,0,16,58,37,8,29,159,16,9,194,13,10
September,1937,Indiana (statewide),3429000,4606,2771,116,0,9,2,1,0,14,102,51,13,51,292,10,11,325,14,25
September,1937,Rural,1769000,1957,1240,66,0,5,0,0,0,6,32,15,7,29,129,1,3,147,3,14
September,1937,Urban,1660000,2649,1531,50,0,4,2,1,0,8,70,36,6,22,163,9,8,178,11,11
October,1937,Indiana (statewide),3429000,4310,3041,114,0,0,10,4,0,10,188,32,31,44,303,13,15,266,15,19
October,1937,Rural,1769000,1880,1356,67,0,0,3,3,0,3,74,17,14,21,125,4,7,120,3,8
October,1937,Urban,1660000,2430,1685,47,0,0,7,1,0,7,114,15,17,23,178,9,8,146,12,11
November,1937,Indiana (statewide),3429000,4221,3091,136,0,2,5,9,2,5,212,9,32,52,242,11,15,310,14,12
November,1937,Rural,1769000,1834,1411,67,0,2,2,3,1,2,96,0,17,21,101,2,3,142,2,5
November,1937,Urban,1660000,2387,1680,69,0,0,3,6,1,3,116,9,15,31,141,9,12,168,12,7
December,1937,Indiana (statewide),3429000,4378,3485,126,0,2,6,8,2,7,383,15,69,30,260,8,15,324,13,26
December,1937,Rural,1769000,1805,1482,63,0,0,2,3,1,3,133,5,41,15,202,3,5,133,1,11
December,1937,Urban,1660000,2573,2003,63,0,2,4,5,1,4,250,10,28,15,58,5,10,191,12,15
