Month,Year,Region,Population,Births,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox,Syphilis
January,1928,Indiana (statewide),3150000,4962,3350,159,24,7,26,7,3,13,370,19,130,32,268,219,0,19
January,1928,"Rural, population under 5,000",1547600,2372,1624,95,10,5,12,5,2,9,163,12,80,10,128,73,0,6
January,1928,"Urban, population over 5,000",1602400,2590,1726,64,14,2,14,2,1,4,207,7,50,22,140,146,0,13
February,1928,Indiana (statewide),3150000,4646,2963,145,25,5,13,10,1,16,303,27,111,22,221,201,4,25
February,1928,"Rural, population under 5,000",1547600,2189,1404,84,6,4,5,8,1,5,140,13,73,7,98,75,1,11
February,1928,"Urban, population over 5,000",1602400,2457,1559,61,19,1,8,2,0,11,163,14,38,15,123,126,3,14
March,1928,Indiana (statewide),3150000,5147,3660,211,27,2,15,7,10,8,408,25,187,31,316,249,1,23
March,1928,"Rural, population under 5,000",1547600,2429,1801,114,11,0,5,3,9,5,178,7,112,10,157,110,1,13
March,1928,"Urban, population over 5,000",1602400,2718,1859,97,16,2,10,4,1,3,230,18,75,21,159,139,0,10
April,1928,Indiana (statewide),3150000,4629,3539,172,27,7,10,6,12,10,452,16,214,24,275,232,2,14
April,1928,"Rural, population under 5,000",1547600,2236,1677,92,12,4,4,3,7,6,174,6,110,7,123,102,2,6
April,1928,"Urban, population over 5,000",1602400,2393,1862,80,15,3,6,3,5,4,278,10,104,17,152,130,0,8
May,1928,Indiana (statewide),3150000,4803,3429,198,23,4,9,13,14,19,325,21,260,36,245,247,1,25
May,1928,"Rural, population under 5,000",1547600,2236,1661,98,9,1,4,4,7,11,146,11,132,13,134,101,0,16
May,1928,"Urban, population over 5,000",1602400,2567,1768,100,14,3,5,9,7,8,179,10,128,23,111,146,0,9
June,1928,Indiana (statewide),3150000,4594,2841,181,28,6,10,1,15,13,150,19,71,28,270,229,1,15
June,1928,Rural,1547600,2218,1380,85,14,4,5,1,4,8,57,8,40,8,132,116,0,8
June,1928,Urban,1602400,2376,1461,96,14,2,5,0,11,5,93,11,31,20,138,113,1,7
July,1928,Indiana (statewide),3150000,4770,2676,132,23,4,5,4,4,11,81,54,37,24,235,325,0,20
July,1928,Rural,1547600,2299,1282,66,12,4,2,3,2,6,33,24,20,5,124,155,0,4
July,1928,Urban,1602400,2471,1394,66,11,0,3,1,2,5,48,30,17,19,111,170,0,16
August,1928,Indiana (statewide),3150000,4825,2872,122,37,28,6,1,0,17,91,136,22,30,296,269,0,19
August,1928,Rural,1547600,2318,1353,69,18,15,3,0,0,8,38,64,13,8,134,103,0,4
August,1928,Urban,1602400,2507,1519,53,19,13,3,1,0,9,53,72,9,22,162,166,0,15
September,1928,Indiana (statewide),3150000,4572,2895,123,27,23,12,1,0,9,115,123,31,40,274,287,0,23
September,1928,Rural,1547600,2152,1365,57,12,16,7,1,0,6,35,46,13,14,133,117,0,10
September,1928,Urban,1602400,2420,1530,66,15,7,5,0,0,3,80,77,18,26,141,170,0,13
October,1928,Indiana (statewide),3150000,4575,3020,148,25,25,21,6,0,3,166,76,44,25,245,303,0,13
October,1928,Rural,1547600,2126,1399,81,12,13,9,4,0,1,74,34,20,6,107,135,0,6
October,1928,Urban,1602400,2449,1621,67,13,12,12,2,0,2,92,42,24,19,138,168,0,7
November,1928,Indiana (statewide),3150000,4428,2919,128,20,20,26,5,2,2,209,33,63,27,274,262,2,18
November,1928,Rural,1547600,2018,1331,59,11,15,11,4,1,1,72,9,30,7,137,115,1,7
November,1928,Urban,1602400,2410,1588,69,9,5,15,1,1,1,137,24,33,20,137,147,1,11
December,1928,Indiana (statewide),3150000,4560,4548,199,18,8,27,7,3,15,629,14,722,24,271,286,1,18
December,1928,Rural,1547600,2084,2171,66,6,6,16,5,1,8,272,5,378,8,114,112,1,8
December,1928,Urban,1602400,2476,2377,133,12,2,11,2,2,7,357,9,344,16,157,174,0,10
