Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
January,1915,Indiana (statewide),2824237,310,47,34,33,15,3,10,424,46,10,1,68,12,170,182,1
January,1915,Northern counties,982219,79,12,11,10,7,0,6,106,22,2,1,16,4,71,55,1
January,1915,Central counties,1165270,132,27,17,8,5,2,2,194,15,3,0,18,6,68,80,0
January,1915,Southern counties,676748,99,8,6,15,3,1,2,124,9,5,0,34,2,31,47,0
January,1915,"Urban, population over 5,000",1272157,153,25,20,16,10,2,7,230,30,5,0,32,5,88,103,0
January,1915,"Rural, population under 5,000",1552080,157,22,14,17,5,1,3,194,16,5,1,36,7,82,79,1
January,1915,"Cities, population over 100,000",259442,44,6,1,3,0,0,1,63,7,2,0,3,1,22,21,0
January,1915,"Cities, population 45,000 to 100,000",273921,25,3,5,5,1,1,0,39,5,1,0,6,0,16,19,0
January,1915,"Cities, population 20,000 to 45,000",274558,31,6,6,3,2,0,3,58,14,2,0,6,2,22,20,0
January,1915,"Cities, population 10,000 to 20,000",138377,9,2,2,1,3,0,2,15,0,0,0,5,0,12,11,0
January,1915,"Cities, population 5,000 to 10,000",325859,44,8,6,4,4,1,1,55,4,0,0,12,2,16,32,0
February,1915,Indiana (statewide),2824237,304,48,23,30,7,5,16,548,38,9,1,137,19,171,183,1
February,1915,Northern counties,982219,75,9,4,8,6,0,7,176,24,1,0,44,4,61,70,0
February,1915,Central counties,1165270,126,23,11,10,1,3,8,249,9,4,0,56,12,71,72,1
February,1915,Southern counties,676748,103,16,8,12,0,2,1,123,5,4,1,37,3,39,41,0
February,1915,"Urban, population over 5,000",1272157,148,24,11,13,5,5,7,279,25,7,1,53,14,75,94,0
February,1915,"Rural, population under 5,000",1552080,156,24,12,17,2,0,9,269,13,2,0,84,5,96,89,1
February,1915,"Cities, population over 100,000",259442,33,11,3,0,0,0,3,63,1,4,0,6,3,19,16,0
February,1915,"Cities, population 45,000 to 100,000",273921,40,2,1,3,0,3,0,67,2,0,0,7,6,15,17,0
February,1915,"Cities, population 20,000 to 45,000",274558,26,3,5,7,4,0,1,60,18,0,0,12,1,17,21,0
February,1915,"Cities, population 10,000 to 20,000",138377,13,1,0,2,0,0,2,26,1,2,0,11,1,10,14,0
February,1915,"Cities, population 5,000 to 10,000",325859,36,7,2,1,1,2,1,63,3,1,1,17,3,14,26,0
March,1915,Indiana (statewide),2824237,364,47,35,20,18,7,23,528,46,4,2,168,23,189,191,1
March,1915,Northern counties,982219,99,9,9,4,5,0,10,168,21,0,2,71,6,70,71,1
March,1915,Central counties,1165270,160,27,10,11,4,3,8,233,18,3,0,52,12,87,88,0
March,1915,Southern counties,676748,105,11,16,5,9,4,5,127,7,1,0,45,5,32,32,0
March,1915,"Urban, population over 5,000",1272157,193,27,17,8,6,2,12,242,31,1,1,55,17,108,93,1
March,1915,"Rural, population under 5,000",1552080,171,20,18,12,12,5,11,286,15,3,1,113,6,81,98,0
March,1915,"Cities, population over 100,000",259442,49,7,3,5,2,0,1,60,8,1,0,2,6,30,18,0
March,1915,"Cities, population 45,000 to 100,000",273921,49,2,5,1,0,1,3,46,3,0,0,9,2,19,22,0
March,1915,"Cities, population 20,000 to 45,000",274558,29,9,4,0,1,0,4,60,8,0,0,10,4,26,26,0
March,1915,"Cities, population 10,000 to 20,000",138377,11,3,0,1,1,0,1,21,1,0,0,8,2,8,6,0
March,1915,"Cities, population 5,000 to 10,000",325859,55,6,5,1,2,1,3,55,11,0,1,26,3,25,21,1
April,1915,Indiana (statewide),2824237,311,67,18,14,13,14,16,367,55,8,2,103,14,198,190,3
April,1915,Northern counties,982219,90,14,8,2,8,3,9,116,32,0,2,41,5,67,75,0
April,1915,Central counties,1165270,139,33,10,5,3,1,4,166,14,6,0,36,7,88,82,2
April,1915,Southern counties,676748,82,20,0,7,2,10,3,85,9,2,0,26,2,43,33,1
April,1915,"Urban, population over 5,000",1272157,159,36,15,7,6,5,5,150,28,3,1,36,9,101,99,0
April,1915,"Rural, population under 5,000",1552080,162,31,3,7,7,9,11,217,27,5,1,67,5,97,91,3
April,1915,"Cities, population over 100,000",259442,46,10,3,1,0,0,0,35,2,2,0,5,2,25,14,0
April,1915,"Cities, population 45,000 to 100,000",273921,25,7,2,2,0,2,1,35,7,0,1,3,1,18,29,0
April,1915,"Cities, population 20,000 to 45,000",274558,24,5,5,2,3,0,1,33,12,0,0,8,0,15,29,0
April,1915,"Cities, population 10,000 to 20,000",138377,21,4,1,0,3,1,0,10,1,1,0,2,3,11,3,0
April,1915,"Cities, population 5,000 to 10,000",325859,43,10,4,2,0,2,3,37,6,0,0,18,3,32,24,0
May,1915,Indiana (statewide),2824237,340,56,17,9,4,14,17,135,44,4,0,23,13,182,191,1
May,1915,Northern counties,982219,80,17,9,6,0,4,11,60,23,1,0,7,5,69,69,0
May,1915,Central counties,1165270,169,30,7,1,4,4,6,49,13,3,0,11,4,81,84,0
May,1915,Southern counties,676748,91,9,1,2,0,6,0,26,8,0,0,5,4,32,38,1
May,1915,"Urban, population over 5,000",1272157,165,34,11,6,1,9,7,78,24,2,0,10,9,87,103,1
May,1915,"Rural, population under 5,000",1552080,175,22,6,3,3,5,10,57,20,2,0,13,4,95,88,0
May,1915,"Cities, population over 100,000",259442,44,9,2,0,0,0,1,15,2,1,0,0,2,19,22,0
May,1915,"Cities, population 45,000 to 100,000",273921,33,9,1,2,0,2,3,8,3,1,0,1,1,18,18,0
May,1915,"Cities, population 20,000 to 45,000",274558,30,3,5,3,0,1,1,31,11,0,0,3,5,10,28,0
May,1915,"Cities, population 10,000 to 20,000",138377,15,3,0,0,1,0,1,6,4,0,0,1,0,12,8,1
