Month,Year,Region,Population,Births,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox,Syphilis
January,1926,Indiana (statewide),3036775,5149,3493,164,34,11,20,18,8,15,466,35,169,38,270,200,0,17
January,1926,Northern counties,1099694,1985,1219,58,7,2,5,6,0,8,183,15,53,15,103,82,0,5
January,1926,Central counties,1269845,2007,1528,67,20,4,6,9,8,6,187,13,67,11,125,75,0,8
January,1926,Southern counties,667236,1157,746,39,7,5,9,3,0,1,96,7,49,12,42,43,0,4
January,1926,"Rural, population under 5,000",1571762,2501,1682,73,12,6,9,12,5,8,225,18,102,11,123,75,0,14
January,1926,"Urban, population over 5,000",1465013,2648,1811,91,22,5,11,6,3,7,241,17,67,27,147,125,0,3
February,1926,Indiana (statewide),3036775,4782,3169,182,31,8,15,10,26,34,339,17,150,37,240,174,0,23
February,1926,Northern counties,1099694,1887,1119,60,12,4,5,1,0,16,128,4,37,14,97,75,0,9
February,1926,Central counties,1269845,1876,1412,78,15,3,9,4,24,13,147,10,73,16,99,72,0,10
February,1926,Southern counties,667236,1019,638,44,4,1,1,5,2,5,64,3,40,7,44,27,0,4
February,1926,"Rural, population under 5,000",1571762,2299,1560,104,16,4,6,2,8,13,172,8,100,9,105,61,0,12
February,1926,"Urban, population over 5,000",1465013,2483,1609,78,15,4,9,8,18,21,167,9,50,28,135,113,0,11
March,1926,Indiana (statewide),3036775,5223,4223,233,34,6,15,24,81,59,576,24,443,45,252,193,0,23
March,1926,Northern counties,1099694,2063,1434,76,11,1,7,5,2,23,216,12,129,19,106,82,0,6
March,1926,Central counties,1269845,2032,1828,95,15,2,6,7,57,17,232,6,165,18,101,79,0,12
March,1926,Southern counties,667236,1128,961,62,8,3,2,12,22,19,128,6,149,8,45,32,0,5
March,1926,"Rural, population under 5,000",1571762,2499,2082,132,14,3,8,10,37,26,267,11,241,14,119,79,0,9
March,1926,"Urban, population over 5,000",1465013,2724,2141,101,20,3,7,14,44,33,309,13,202,31,133,114,0,14
April,1926,Indiana (statewide),3036775,4616,3771,211,38,2,7,10,90,52,415,27,306,50,264,215,0,25
April,1926,Northern counties,1099694,1901,1369,61,10,2,4,2,9,20,174,11,111,23,105,79,0,11
April,1926,Central counties,1269845,1746,1635,91,16,0,2,4,54,16,157,14,118,22,115,91,0,10
April,1926,Southern counties,667236,969,767,59,12,0,1,4,27,16,84,2,77,5,44,45,0,4
April,1926,"Rural, population under 5,000",1571762,2210,1865,134,18,1,2,5,41,18,193,11,183,16,126,89,0,10
April,1926,"Urban, population over 5,000",1465013,2408,1906,77,20,1,5,5,49,34,222,16,123,34,138,126,0,15
May,1926,Indiana (statewide),3036775,4935,3216,191,39,10,3,5,86,37,282,25,101,40,247,229,2,12
May,1926,Northern counties,1099694,1936,1109,65,14,1,1,2,12,13,105,8,35,14,86,96,1,5
May,1926,Central counties,1269845,1943,1439,82,13,7,1,1,33,14,110,12,38,18,110,91,0,6
May,1926,Southern counties,667236,1056,668,44,12,2,1,2,41,10,67,5,28,8,51,42,1,1
May,1926,"Rural, population under 5,000",1571762,2417,1504,88,16,4,1,2,49,16,110,13,59,14,116,93,2,2
May,1926,"Urban, population over 5,000",1465013,2518,1712,103,23,6,2,3,37,21,172,12,42,26,131,136,0,10
June,1926,Indiana (statewide),3036775,4648,2835,180,44,5,6,3,43,32,150,20,41,31,243,248,1,21
June,1926,Northern counties,1099694,1793,1033,47,17,4,4,2,19,15,70,8,11,14,86,105,0,10
June,1926,Central counties,1269845,1809,1233,82,17,1,1,0,12,12,58,5,23,7,109,94,1,8
June,1926,Southern counties,667236,1046,569,51,10,0,1,1,12,5,22,7,7,10,48,49,0,3
June,1926,"Rural, population under 5,000",1571762,2266,1328,107,15,2,4,1,15,16,59,7,24,12,102,95,1,12
June,1926,"Urban, population over 5,000",1465013,2382,1507,73,29,3,2,2,28,16,91,13,17,19,141,153,0,9
July,1926,Indiana (statewide),3036775,5063,2791,144,38,15,10,1,14,27,119,84,20,15,279,266,0,21
July,1926,Northern counties,1099694,1971,1005,42,17,4,4,0,11,9,48,23,12,8,117,126,0,9
July,1926,Central counties,1269845,2000,1217,69,15,5,4,0,1,8,49,31,7,6,115,92,0,10
July,1926,Southern counties,667236,1092,569,33,6,6,2,1,2,10,22,30,1,1,47,48,0,2
July,1926,"Rural, population under 5,000",1571762,2468,1361,77,17,6,6,1,3,12,38,42,12,4,134,129,0,5
July,1926,"Urban, population over 5,000",1465013,2595,1430,67,21,9,4,0,11,15,81,42,8,11,145,137,0,16
August,1926,Indiana (statewide),3036775,5167,2840,179,31,27,7,1,6,29,60,190,22,30,283,283,1,20
August,1926,Northern counties,1099694,2044,999,59,10,4,2,0,5,14,21,59,10,17,106,112,0,6
August,1926,Central counties,1269845,2012,1259,77,13,10,3,1,1,11,31,77,10,10,125,116,0,9
August,1926,Southern counties,667236,1111,582,43,8,13,2,0,0,4,8,54,2,3,52,55,1,5
August,1926,"Rural, population under 5,000",1571762,2495,1322,88,13,16,4,1,1,10,18,76,9,9,134,126,1,9
August,1926,"Urban, population over 5,000",1465013,2672,1518,91,18,11,3,0,5,19,42,114,13,21,149,157,0,11
September,1926,Indiana (statewide),3036775,5066,2921,133,26,36,6,1,4,18,91,213,25,29,253,246,0,18
September,1926,Northern counties,1099694,1975,984,40,6,10,2,1,1,8,34,74,8,13,91,88,0,7
September,1926,Central counties,1269845,2028,1340,61,17,11,4,0,1,4,44,86,8,12,106,116,0,8
September,1926,Southern counties,667236,1063,597,32,3,15,0,0,2,6,13,53,9,4,56,42,0,3
September,1926,"Rural, population under 5,000",1571762,2454,1382,76,12,24,2,1,2,8,36,86,11,9,123,104,0,10
September,1926,"Urban, population over 5,000",1465013,2612,1539,57,14,12,4,0,2,10,55,127,14,20,130,142,0,8
October,1926,Indiana (statewide),3036775,4942,3024,155,33,44,26,4,3,22,173,111,51,29,248,237,0,24
October,1926,Northern counties,1099694,1915,1056,51,10,14,9,0,2,10,63,36,17,12,80,97,0,12
October,1926,Central counties,1269845,1932,1379,71,16,18,10,0,1,9,88,47,24,15,118,101,0,10
October,1926,Southern counties,667236,1095,589,33,7,12,7,4,0,3,22,28,10,2,50,39,0,2
October,1926,"Rural, population under 5,000",1571762,2332,1427,77,15,22,9,3,3,9,58,53,31,9,111,102,0,8
October,1926,"Urban, population over 5,000",1465013,2610,1597,78,18,22,17,1,0,13,115,58,20,20,137,135,0,16
November,1926,Indiana (statewide),3036775,4504,2942,149,20,18,32,5,1,30,300,30,65,21,242,233,2,19
November,1926,Northern counties,1099694,1719,1000,41,6,3,14,1,0,7,94,9,17,6,102,95,0,8
November,1926,Central counties,1269845,1890,1335,79,8,6,14,3,0,13,149,13,29,11,97,95,2,10
November,1926,Southern counties,667236,895,607,29,6,9,4,1,1,10,57,8,19,4,43,43,0,1
November,1926,"Rural, population under 5,000",1571762,2121,1408,87,13,13,13,2,1,18,137,18,41,5,117,104,0,6
November,1926,"Urban, population over 5,000",1465013,2383,1534,62,7,5,19,3,0,12,163,12,24,16,125,129,2,13
December,1926,Indiana (statewide),3036775,4626,3198,145,30,14,29,9,3,24,320,19,96,28,256,283,2,16
December,1926,Northern counties,1099694,1803,1158,48,11,5,13,0,2,9,127,14,30,9,102,121,0,5
December,1926,Central counties,1269845,1919,1421,65,17,3,11,6,0,8,139,5,46,12,113,100,2,6
December,1926,Southern counties,667236,904,619,32,2,6,5,3,1,7,54,0,20,7,41,62,0,5
December,1926,"Rural, population under 5,000",1571762,2114,1524,75,12,7,11,7,1,12,152,4,55,8,122,123,2,7
December,1926,"Urban, population over 5,000",1465013,2512,1674,70,18,7,18,2,2,12,168,15,41,20,134,160,0,9
