Month,Year,Region,Population,Births,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox,Syphilis
January,1930,Indiana (statewide),3200000,4733,3434,148,25,4,18,8,7,12,382,31,90,26,263,239,1,27
January,1930,"Rural, population under 5,000",1636600,2109,1598,81,9,2,10,5,3,7,180,18,52,8,111,98,1,9
January,1930,"Urban, population over 5,000",1563400,2624,1836,67,16,2,8,3,4,5,202,13,38,18,152,141,0,18
February,1930,Indiana (statewide),3200000,4433,3151,165,20,4,19,9,3,8,325,14,85,24,257,215,4,19
February,1930,"Rural, population under 5,000",1636600,1980,1449,82,10,4,8,5,0,6,157,8,47,6,114,85,3,10
February,1930,"Urban, population over 5,000",1563400,2453,1702,83,10,0,11,4,3,2,168,6,38,18,143,130,1,9
March,1930,Indiana (statewide),3200000,4795,3508,188,33,2,5,9,4,17,333,9,70,41,310,244,2,20
March,1930,"Rural, population under 5,000",1636600,2104,1643,95,12,1,2,5,4,6,146,5,35,17,158,94,1,8
March,1930,"Urban, population over 5,000",1563400,2691,1865,93,21,1,3,4,0,11,187,4,35,24,152,150,1,12
April,1930,Indiana (statewide),3200000,4583,3339,188,32,2,7,3,7,9,301,19,73,28,262,231,3,15
April,1930,"Rural, population under 5,000",1636600,2072,1580,94,11,0,5,1,3,6,116,13,44,8,114,100,1,5
April,1930,"Urban, population over 5,000",1563400,2511,1759,94,21,2,2,2,4,3,185,6,29,20,148,131,2,10
May,1930,Indiana (statewide),3200000,4647,3071,158,24,2,4,10,13,8,181,12,49,29,268,291,2,17
May,1930,"Rural, population under 5,000",1636600,2171,1474,94,7,0,1,7,6,2,74,3,31,5,112,136,1,9
May,1930,"Urban, population over 5,000",1563400,2476,1597,64,17,2,3,3,7,6,107,9,18,24,156,155,1,8
June,1930,Indiana (statewide),3200000,4644,3043,145,30,6,3,4,5,12,153,30,26,34,280,305,3,22
June,1930,Rural,1636600,2159,1376,78,13,5,1,1,0,4,59,14,12,12,130,116,2,8
June,1930,Urban,1563400,2485,1667,67,17,1,2,3,5,8,94,16,14,22,150,189,1,14
July,1930,Indiana (statewide),3200000,4996,3084,149,24,13,7,4,6,7,93,87,20,29,299,361,2,12
July,1930,Rural,1636600,2237,1483,79,7,9,3,2,5,5,26,41,12,8,140,165,2,2
July,1930,Urban,1563400,2759,1601,70,17,4,4,2,1,2,67,46,8,21,159,196,0,10
August,1930,Indiana (statewide),3200000,4992,2926,127,23,16,11,5,3,8,105,97,22,28,272,331,0,10
August,1930,Rural,1636600,2217,1326,64,7,8,7,1,1,1,33,42,10,7,123,142,0,1
August,1930,Urban,1563400,2775,1600,63,16,8,4,4,2,7,72,55,12,21,149,189,0,9
September,1930,Indiana (statewide),3225418,4565,2891,114,17,25,12,0,0,7,118,138,43,19,239,270,0,16
September,1930,Rural,1609590,2083,1321,60,9,15,5,0,0,4,39,64,20,7,118,110,0,4
September,1930,Urban,1615828,2482,1570,54,8,10,7,0,0,3,79,74,23,12,121,160,0,12
October,1930,Indiana (statewide),3225418,4446,2947,127,11,21,13,1,0,2,175,115,40,21,273,315,0,11
October,1930,Rural,1609590,1974,1367,72,2,14,4,1,0,1,64,46,18,6,122,125,0,5
October,1930,Urban,1615828,2472,1580,55,9,7,9,0,0,1,111,69,22,15,151,190,0,6
November,1930,Indiana (statewide),3225418,4241,2886,121,31,6,18,5,2,3,221,29,47,14,223,256,0,21
November,1930,Rural,1609590,1983,1394,61,11,5,7,4,0,1,90,12,28,4,112,128,0,6
November,1930,Urban,1615828,2258,1492,60,20,1,11,1,2,2,131,17,19,10,111,128,0,15
December,1930,Indiana (statewide),3225418,4300,3226,136,19,4,15,11,10,3,313,13,72,26,285,285,1,10
December,1930,Rural,1609590,1938,1545,66,13,2,7,6,4,1,121,4,37,9,132,116,1,4
December,1930,Urban,1615828,2362,1681,70,6,2,8,5,6,2,192,9,35,17,153,169,0,6
