Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
January,1917,Indiana (statewide),2889615,292,38,35,46,13,32,23,607,46,2,4,110,18,213,204,2
January,1917,Northern counties,1009364,81,13,17,7,6,5,4,216,23,2,,39,3,81,86,1
January,1917,Central counties,1191458,116,18,8,31,4,14,2,266,15,,3,48,9,90,79,1
January,1917,Southern counties,688793,95,7,10,8,3,13,17,125,8,,1,23,6,42,39,
January,1917,"Urban, population over 5,000",1335134,141,21,19,25,7,11,5,307,32,1,1,47,9,109,122,1
January,1917,"Rural, population under 5,000",1554481,151,17,16,21,6,21,18,300,14,1,3,63,9,104,82,1
January,1917,"Cities, population over 100,000",272338,25,6,2,9,1,1,,64,3,,,5,3,25,19,
January,1917,"Cities, population 45,000 to 100,000",289143,34,4,6,2,4,1,2,50,4,,,10,3,20,32,1
January,1917,"Cities, population 20,000 to 45,000",311158,28,4,6,7,2,2,1,94,15,1,,10,2,16,36,
January,1917,"Cities, population 10,000 to 20,000",155949,16,1,,3,,2,,27,2,,1,4,1,18,14,
January,1917,"Cities, population 5,000 to 10,000",306546,38,6,5,4,,5,2,72,8,,,18,,30,21,
February,1917,Indiana (statewide),2889615,314,48,25,31,16,74,20,657,39,1,2,174,21,211,210,
February,1917,Northern counties,1009364,74,12,16,7,9,22,7,236,24,,1,45,6,82,77,
February,1917,Central counties,1191458,157,23,4,18,6,36,3,259,13,,1,60,11,74,87,
February,1917,Southern counties,688793,83,13,5,6,1,16,10,162,2,1,,69,4,55,46,
February,1917,"Urban, population over 5,000",1335134,162,32,18,16,11,19,6,321,26,,1,55,10,112,149,
February,1917,"Rural, population under 5,000",1554481,152,16,7,15,5,55,14,336,13,1,1,119,11,99,61,
February,1917,"Cities, population over 100,000",272338,41,7,,8,,5,2,75,2,,,8,1,22,36,
February,1917,"Cities, population 45,000 to 100,000",289143,29,8,3,3,6,,1,68,2,,,13,1,25,30,
February,1917,"Cities, population 20,000 to 45,000",311158,41,4,8,2,1,5,2,106,15,,,8,6,20,48,
February,1917,"Cities, population 10,000 to 20,000",155949,19,5,1,1,1,2,,25,2,,,6,,12,12,
February,1917,"Cities, population 5,000 to 10,000",306546,32,8,6,2,3,7,1,47,5,,1,20,2,33,23,
March,1917,Indiana (statewide),2889615,360,48,22,31,16,141,22,597,69,11,1,99,20,238,272,1
March,1917,Northern counties,1009364,100,13,13,5,10,22,9,252,34,2,,21,7,98,95,
March,1917,Central counties,1191458,154,26,4,14,4,67,2,220,26,8,1,41,8,100,104,
March,1917,Southern counties,688793,106,9,5,12,2,52,11,125,9,1,,37,5,40,73,1
March,1917,"Urban, population over 5,000",1335134,205,29,13,18,8,59,10,328,40,6,1,31,15,134,175,
March,1917,"Rural, population under 5,000",1554481,155,19,9,13,8,82,12,269,29,5,,68,5,104,97,1
March,1917,"Cities, population over 100,000",272338,48,5,1,6,,11,,64,6,4,,4,3,25,20,
March,1917,"Cities, population 45,000 to 100,000",289143,57,3,2,5,3,9,1,65,1,1,1,2,5,23,23,
March,1917,"Cities, population 20,000 to 45,000",311158,41,12,7,1,3,15,5,105,25,1,,7,4,39,82,
March,1917,"Cities, population 10,000 to 20,000",155949,17,4,1,2,,12,3,38,2,,,5,2,14,29,
March,1917,"Cities, population 5,000 to 10,000",306546,42,5,2,4,2,12,1,56,6,,,13,1,33,21,
April,1917,Indiana (statewide),2889615,327,50,15,33,18,149,27,349,64,11,4,57,17,200,222,1
April,1917,Northern counties,1009364,74,13,7,8,12,33,8,130,38,2,1,16,4,71,90,
April,1917,Central counties,1191458,144,24,6,21,6,63,8,139,17,4,1,25,12,87,99,1
April,1917,Southern counties,688793,109,13,2,4,,53,11,80,9,5,2,16,1,42,33,
April,1917,"Urban, population over 5,000",1337022,168,26,11,23,8,81,17,197,40,5,,32,10,104,135,
April,1917,"Rural, population under 5,000",1552593,159,24,4,10,10,68,10,152,24,7,4,25,7,96,87,1
April,1917,"Cities, population over 100,000",272338,36,8,1,10,1,15,1,46,5,3,,7,2,23,32,
April,1917,"Cities, population 45,000 to 100,000",291031,24,4,2,,,14,2,47,5,1,,4,5,25,28,
April,1917,"Cities, population 20,000 to 45,000",311158,44,8,3,6,5,32,7,60,23,1,,10,,26,39,
April,1917,"Cities, population 10,000 to 20,000",155949,14,3,1,2,,11,4,22,3,,,5,1,8,13,
April,1917,"Cities, population 5,000 to 10,000",306546,50,3,4,5,2,9,3,22,4,,,6,2,22,23,
May,1917,Indiana (statewide),2889615,345,35,22,24,25,91,23,247,59,6,2,23,15,216,261,3
May,1917,Northern counties,1009364,114,11,13,8,14,31,5,102,39,3,,6,4,74,106,
May,1917,Central counties,1191458,145,16,6,13,10,40,2,107,16,2,,13,5,82,120,3
May,1917,Southern counties,688793,86,8,3,3,1,20,16,38,4,1,2,4,6,60,35,
May,1917,"Urban, population over 5,000",1337022,182,21,18,20,17,53,9,161,46,4,1,13,8,97,143,1
May,1917,"Rural, population under 5,000",1552593,163,14,4,4,8,38,14,86,13,2,1,10,7,119,118,2
May,1917,"Cities, population over 100,000",272338,45,4,1,8,5,11,,38,6,1,,2,1,20,29,1
May,1917,"Cities, population 45,000 to 100,000",291031,38,3,6,3,,5,1,23,5,2,,1,3,22,30,
May,1917,"Cities, population 20,000 to 45,000",311158,48,7,9,7,10,28,3,68,24,,,4,3,25,46,
May,1917,"Cities, population 10,000 to 20,000",155949,21,1,1,,,2,1,11,2,1,,1,,6,10,
May,1917,"Cities, population 5,000 to 10,000",306546,30,6,1,2,2,7,4,21,9,,1,5,1,24,28,
June,1917,Indiana (statewide),2889615,269,69,23,19,10,33,12,127,58,7,3,14,12,172,260,1
June,1917,Northern counties,1009364,89,19,11,8,9,19,4,61,27,4,2,2,4,64,103,
June,1917,Central counties,1191458,111,33,7,10,,12,1,51,15,3,1,8,7,77,115,
June,1917,Southern counties,688793,69,17,5,1,1,2,7,15,16,,,4,1,31,42,1
June,1917,"Urban, population over 5,000",1337022,144,38,14,13,6,23,8,82,38,5,2,7,8,97,142,
June,1917,"Rural, population under 5,000",1552593,125,31,9,6,4,10,4,45,20,2,1,7,4,75,118,1
June,1917,"Cities, population over 100,000",272338,37,9,,5,,3,,17,2,2,1,3,3,26,30,
June,1917,"Cities, population 45,000 to 100,000",291031,28,8,5,1,1,5,3,19,9,2,,,1,21,30,
June,1917,"Cities, population 20,000 to 45,000",311158,27,8,6,3,5,8,4,28,18,,,,1,16,54,
June,1917,"Cities, population 10,000 to 20,000",155949,13,6,,1,,1,,5,4,,,2,,17,13,
June,1917,"Cities, population 5,000 to 10,000",306546,39,7,3,3,,6,1,13,5,1,1,2,3,17,15,
July,1917,Indiana (statewide),2889615,232,32,32,23,5,12,24,91,212,6,6,1,8,211,298,4
July,1917,Northern counties,1009364,59,7,10,6,,5,5,35,58,3,4,,1,79,120,1
July,1917,Central counties,1191458,108,17,10,15,3,4,7,37,67,1,1,1,6,87,134,1
July,1917,Southern counties,688793,65,8,12,2,2,3,12,19,87,2,1,,1,45,44,2
July,1917,"Urban, population over 5,000",1337022,111,20,19,12,3,7,16,54,128,5,5,1,5,92,171,2
July,1917,"Rural, population under 5,000",1552593,121,12,13,11,2,5,8,37,84,1,1,,3,119,127,2
July,1917,"Cities, population over 100,000",272338,36,9,2,8,2,2,1,15,25,,,,,14,28,1
July,1917,"Cities, population 45,000 to 100,000",291031,19,2,4,,,1,5,7,26,2,,,1,19,31,
July,1917,"Cities, population 20,000 to 45,000",311158,22,3,7,4,,4,6,25,45,1,5,1,1,23,63,
July,1917,"Cities, population 10,000 to 20,000",155949,10,3,1,,,,1,,9,,,,1,9,21,
July,1917,"Cities, population 5,000 to 10,000",306546,24,3,5,,1,,3,7,23,2,,,2,27,28,1
August,1917,Indiana (statewide),2889615,250,54,63,19,2,1,24,69,346,2,1,3,19,210,264,
August,1917,Northern counties,1009364,62,14,18,9,2,1,8,25,138,,,1,7,75,108,
August,1917,Central counties,1191458,117,25,19,8,,,7,34,117,1,,1,11,90,109
August,1917,Southern counties,688793,71,15,26,2,,,9,10,91,1,1,1,1,45,47
August,1917,"Urban, population over 5,000",1337022,133,33,36,11,2,1,15,43,232,2,,1,16,87,167
August,1917,"Rural, population under 5,000",1552593,117,21,27,8,,,9,26,114,,,2,3,123,97
August,1917,"Cities, population over 100,000",272338,42,5,4,5,,,3,13,35,1,,1,5,11,32
August,1917,"Cities, population 45,000 to 100,000",291031,27,4,9,2,0,,2,3,47,,,,6,18,38
August,1917,"Cities, population 20,000 to 45,000",311158,21,15,12,2,1,1,8,18,83,,,,,19,54
August,1917,"Cities, population 10,000 to 20,000",155949,14,2,3,1,1,,,2,20,,,,,10,15
August,1917,"Cities, population 5,000 to 10,000",306546,29,7,8,1,,,2,7,47,1,,,5,29,28
September,1917,Indiana (statewide),2889615,216,41,93,33,4,1,21,106,333,5,1,6,13,202,244
September,1917,Northern counties,1009364,57,13,28,10,4,1,6,49,135,2,1,4,6,69,102
September,1917,Central counties,1191458,98,17,36,23,,,9,43,131,3,,2,2,89,99
September,1917,Southern counties,688793,61,11,29,,,,6,14,67,,,,5,44,43
September,1917,"Urban, population over 5,000",1337022,115,20,54,26,2,,15,68,200,2,,2,10,93,150
September,1917,"Rural, population under 5,000",1552593,101,21,39,7,2,1,6,38,133,3,1,4,3,109,94
September,1917,"Cities, population over 100,000",272338,34,3,9,16,,,5,18,39,1,,,,21,34
September,1917,"Cities, population 45,000 to 100,000",291031,20,3,19,2,,,5,10,29,1,,,4,13,39,
September,1917,"Cities, population 20,000 to 45,000",311158,24,5,9,6,1,,2,29,79,,,1,2,19,42,
September,1917,"Cities, population 10,000 to 20,000",155949,11,1,8,,,,,4,23,,,,3,12,14,
September,1917,"Cities, population 5,000 to 10,000",306546,26,8,9,2,1,,3,7,30,,,1,1,28,21,
October,1917,Indiana (statewide),2889615,245,52,69,64,10,4,18,207,126,4,6,5,15,197,239,
October,1917,Northern counties,1009364,74,11,24,17,3,2,6,77,49,3,4,3,3,74,93,
October,1917,Central counties,1191458,112,30,24,34,4,2,8,86,42,1,1,1,9,93,101,
October,1917,Southern counties,688793,59,11,21,13,3,0,4,44,35,,1,1,3,30,45,
October,1917,"Urban, population over 5,000",1337022,122,32,32,42,10,2,5,125,72,,5,3,12,105,130,
October,1917,"Rural, population under 5,000",1552593,123,20,37,22,,2,13,82,54,4,1,2,3,92,109,
October,1917,"Cities, population over 100,000",272338,27,8,4,13,1,,,32,12,,,,2,30,28,
October,1917,"Cities, population 45,000 to 100,000",291031,24,3,11,10,1,,3,22,16,,,2,2,25,25,
October,1917,"Cities, population 20,000 to 45,000",311158,33,9,8,7,1,2,2,42,22,,5,,2,21,49,
October,1917,"Cities, population 10,000 to 20,000",155949,15,3,2,4,2,,,6,7,,,,3,11,13,
October,1917,"Cities, population 5,000 to 10,000",306546,23,9,7,8,5,,,23,15,,,1,3,18,15,
November,1917,Indiana (statewide),2889615,212,38,48,52,11,2,16,247,52,3,2,14,16,207,242,1
November,1917,Northern counties,1009364,53,8,10,24,3,2,5,89,24,2,,7,5,74,95,
November,1917,Central counties,1191458,96,17,18,19,7,,8,103,17,1,1,3,7,92,102,
November,1917,Southern counties,688793,63,13,20,9,1,,3,55,11,,1,4,4,41,45,1
November,1917,"Urban, population over 5,000",1335134,112,22,23,34,4,2,8,141,37,3,,3,11,106,145,1
November,1917,"Rural, population under 5,000",1554481,100,16,25,18,7,,8,106,15,,2,11,5,101,97,
November,1917,"Cities, population over 100,000",272338,31,5,2,7,,,2,21,4,,,,1,26,27,
November,1917,"Cities, population 45,000 to 100,000",289143,34,5,3,6,,,1,31,7,2,,,1,22,27,
November,1917,"Cities, population 20,000 to 45,000",311158,18,7,8,18,2,2,3,49,17,1,,1,4,23,54,
November,1917,"Cities, population 10,000 to 20,000",155949,8,2,4,1,2,,2,15,3,,,1,3,10,10,
November,1917,"Cities, population 5,000 to 10,000",306546,21,3,6,2,,,,25,6,,,1,2,25,27,1
December,1917,Indiana (statewide),2889615,278,38,34,63,14,3,26,335,54,1,1,39,21,213,212,
December,1917,Northern counties,1009364,78,9,9,23,5,2,10,110,29,,1,13,8,87,78,
December,1917,Central counties,1191458,124,20,15,33,8,,9,158,18,1,,14,11,82,92,
December,1917,Southern counties,688793,76,9,10,7,1,1,7,67,7,,,12,2,44,42,
December,1917,"Urban, population over 5,000",1337022,149,18,19,43,6,1,24,175,36,1,1,19,14,111,147,
December,1917,"Rural, population under 5,000",1552593,129,20,15,20,8,2,2,160,18,,,20,7,102,65,
December,1917,"Cities, population over 100,000",272338,40,6,5,17,1,,1,40,5,1,,1,6,20,27
December,1917,"Cities, population 45,000 to 100,000",291031,26,4,4,5,2,,7,30,4,,,3,2,21,30
December,1917,"Cities, population 20,000 to 45,000",311158,32,2,6,16,2,1,7,48,17,,1,8,3,27,54
December,1917,"Cities, population 10,000 to 20,000",155949,18,2,0,2,1,,3,26,3,,,1,1,13,10
December,1917,"Cities, population 5,000 to 10,000",306546,33,4,4,3,,,6,31,7,,,6,2,30,26
