Month,Year,Region,Population,Births,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox,Syphilis
June,1927,Indiana (statewide),3037000,4632,2941,165,37,6,14,7,5,9,136,18,36,31,282,269,3,13
June,1927,Rural,1515000,2200,1396,88,19,3,3,3,4,4,42,10,24,13,132,116,0,6
June,1927,Urban,1522000,2432,1545,77,18,3,11,4,1,5,94,8,12,18,150,153,3,7
July,1927,Indiana (statewide),3037000,5100,2928,168,20,11,10,2,3,15,77,56,25,43,293,333,2,20
July,1927,Rural,1515000,2415,1373,85,6,3,3,2,2,9,30,24,15,11,142,110,2,8
July,1927,Urban,1522000,2685,1555,83,14,8,7,0,1,6,47,32,10,32,151,223,0,12
August,1927,Indiana (statewide),3037000,5114,2737,148,19,16,12,0,0,15,80,97,20,25,267,264,0,18
August,1927,Rural,1515000,2466,1279,86,8,12,3,0,0,6,28,39,8,11,136,115,0,11
August,1927,Urban,1522000,2647,1458,62,11,4,9,0,0,9,52,58,12,14,131,149,0,7
September,1927,Indiana (statewide),3037000,4710,2799,136,20,23,10,3,0,15,111,117,32,30,270,291,0,12
September,1927,Rural,1515000,2340,1276,72,7,12,2,1,0,9,37,41,18,13,121,125,0,7
September,1927,Urban,1522000,2370,1523,64,13,11,8,2,0,6,74,76,14,17,149,166,0,5
October,1927,Indiana (statewide),3037000,4971,3011,128,27,32,33,8,1,9,181,100,34,26,269,320,0,16
October,1927,Rural,1515000,2363,1452,66,16,22,16,4,0,6,89,47,24,10,142,127,0,7
October,1927,Urban,1522000,2608,1559,62,11,10,17,4,0,3,112,53,10,16,127,193,0,9
November,1927,Indiana (statewide),3037000,4586,2961,135,22,16,29,9,0,9,222,37,63,25,261,271,0,23
November,1927,Rural,1515000,2151,1401,74,15,12,15,3,0,7,99,19,30,6,119,99,0,8
November,1927,Urban,1522000,2435,1560,61,7,4,14,6,0,2,123,18,33,19,142,172,0,15
December,1927,Indiana (statewide),3037000,4792,3172,158,27,10,31,5,0,10,313,12,64,26,273,256,2,28
December,1927,Rural,1515000,2263,1505,90,7,5,16,1,0,6,149,2,33,9,125,110,2,15
December,1927,Urban,1522000,2529,1667,68,20,5,15,4,0,4,164,10,31,17,148,146,0,13
