Month,Year,Region,Population,Births,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox,Syphilis
January,1924,Indiana (statewide),2930544,5570,3315,176,31,11,37,7,36,36,403,21,89,6,229,249,1,24
January,1924,Northern counties,1055563,2185,1189,44,10,6,13,4,5,12,154,6,20,2,92,106,1,9
January,1924,Central counties,1217831,2211,1373,81,10,1,13,3,25,16,159,7,40,4,97,91,0,11
January,1924,Southern counties,657150,1174,755,51,11,4,11,0,6,8,90,8,29,0,40,52,0,4
January,1924,"Rural, population under 5,000",1593230,2671,1691,85,16,6,16,4,25,21,191,6,54,1,121,116,1,9
January,1924,"Urban, population over 5,000",1337314,2899,1624,91,15,5,21,3,11,15,212,15,35,5,108,133,0,15
February,1924,Indiana (statewide),2930544,5239,3049,175,20,17,21,7,29,38,353,24,115,17,206,186,0,28
February,1924,Northern counties,1055563,2005,1084,47,6,9,12,4,8,10,139,10,35,6,83,72,0,12
February,1924,Central counties,1217831,2048,1313,78,11,1,5,3,15,25,145,8,53,6,86,79,0,11
February,1924,Southern counties,657150,1186,652,50,3,7,4,0,6,3,69,6,27,5,37,35,0,5
February,1924,"Rural, population under 5,000",1593230,2568,1535,92,8,10,15,6,19,22,160,7,72,7,101,80,0,13
February,1924,"Urban, population over 5,000",1337314,2671,1514,83,12,7,6,1,10,16,193,17,43,10,105,106,0,15
March,1924,Indiana (statewide),2930544,5663,3534,215,40,13,34,6,37,64,464,33,114,17,220,201,1,20
March,1924,Northern counties,1055563,2176,1199,64,10,7,14,4,14,16,177,14,33,8,76,73,0,5
March,1924,Central counties,1217831,2229,1607,87,22,6,13,2,9,33,196,16,52,6,107,82,1,12
March,1924,Southern counties,657150,1258,728,64,8,0,7,0,14,15,91,3,29,3,37,46,0,3
March,1924,"Rural, population under 5,000",1593230,2799,1746,115,23,6,18,1,22,31,209,13,71,8,72,88,0,11
March,1924,"Urban, population over 5,000",1337314,2864,1788,100,17,7,16,5,15,33,255,20,43,9,128,113,1,9
April,1924,Indiana (statewide),2930544,4980,3268,179,31,8,17,4,37,47,389,26,90,20,229,221,4,18
April,1924,Northern counties,1055563,1887,1160,64,9,6,6,3,17,11,141,14,28,5,84,82,2,12
April,1924,Central counties,1217831,1932,1400,76,15,1,8,0,7,23,158,8,39,11,98,92,1,6
April,1924,Southern counties,657150,1161,708,39,7,1,3,1,13,13,90,4,23,4,47,47,1,0
April,1924,"Rural, population under 5,000",1593230,2505,1691,96,12,2,9,2,23,25,175,6,55,5,121,99,4,11
April,1924,"Urban, population over 5,000",1337314,2475,1577,83,19,6,8,2,14,22,214,20,35,15,108,122,0,7
