Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
January,1916,Indiana (statewide),2860920,292,34,26,40,11,12,27,697,41,5,0,494,18,199,189,0
January,1916,Northern counties,998000,78,12,8,14,6,9,8,252,32,0,0,152,5,65,71,0
January,1916,Central counties,1178368,123,15,11,11,5,3,13,286,5,4,0,181,6,101,81,0
January,1916,Southern counties,684552,91,7,7,15,0,0,6,159,4,1,0,161,7,33,37,0
January,1916,"Urban, population over 5,000",1308540,132,21,13,20,8,6,11,346,35,1,0,179,11,115,110,0
January,1916,"Rural, population under 5,000",1552380,160,13,13,20,3,6,16,351,6,4,0,315,7,84,79,0
January,1916,"Cities, population over 100,000",265890,29,1,5,3,1,0,1,77,1,0,0,23,4,27,20,0
January,1916,"Cities, population 45,000 to 100,000",282282,31,6,0,6,3,2,1,74,6,0,0,25,2,21,20,0
January,1916,"Cities, population 20,000 to 45,000",304643,27,7,3,8,1,3,2,87,25,1,0,33,2,29,36,0
January,1916,"Cities, population 10,000 to 20,000",152429,15,5,0,1,3,1,1,34,0,0,0,22,0,14,12,0
January,1916,"Cities, population 5,000 to 10,000",303296,30,2,5,2,0,0,6,74,3,0,0,76,3,24,22,0
February,1916,Indiana (statewide),2860920,304,35,31,25,13,21,20,423,50,1,0,287,14,203,180,0
February,1916,Northern counties,998000,77,16,6,12,4,18,5,138,34,1,0,87,7,88,62,0
February,1916,Central counties,1178368,148,11,19,6,7,3,12,174,8,0,0,116,4,80,81,0
February,1916,Southern counties,684552,79,8,6,7,2,0,3,111,8,0,0,84,3,35,37,0
February,1916,"Urban, population over 5,000",1308540,160,23,14,17,4,4,11,183,40,0,0,79,9,114,107,0
February,1916,"Rural, population under 5,000",1552380,144,12,17,8,9,17,9,240,10,1,0,208,5,89,73,0
February,1916,"Cities, population over 100,000",265890,46,5,3,1,3,1,2,34,5,0,0,13,1,22,23,0
February,1916,"Cities, population 45,000 to 100,000",282282,44,4,4,14,0,2,0,46,4,0,0,10,3,27,18,0
February,1916,"Cities, population 20,000 to 45,000",304643,37,5,4,2,1,1,4,39,25,0,0,19,2,22,29,0
February,1916,"Cities, population 10,000 to 20,000",152429,12,0,2,0,0,0,3,15,1,0,0,9,2,15,13,0
February,1916,"Cities, population 5,000 to 10,000",303296,21,9,1,0,0,0,2,49,5,0,0,28,1,28,24,0
March,1916,Indiana (statewide),2860920,350,50,33,17,10,25,28,473,71,4,1,131,32,205,185,1
March,1916,Northern counties,998000,90,15,13,6,3,16,7,161,44,0,1,28,8,76,73,0
March,1916,Central counties,1178368,156,26,16,4,7,9,18,210,20,4,0,57,19,96,75,0
March,1916,Southern counties,684552,104,9,4,7,0,0,3,102,7,0,0,46,5,33,37,1
March,1916,"Urban, population over 5,000",1308540,173,26,23,6,5,11,15,243,47,4,0,37,20,103,119,0
March,1916,"Rural, population under 5,000",1552380,177,24,10,11,5,14,13,230,24,0,1,94,12,102,66,1
March,1916,"Cities, population over 100,000",265890,39,8,4,2,2,1,2,70,4,3,0,5,3,31,23,0
March,1916,"Cities, population 45,000 to 100,000",282282,45,6,3,2,1,2,1,47,4,1,0,4,3,19,20,0
March,1916,"Cities, population 20,000 to 45,000",304643,35,6,13,1,1,1,4,65,31,0,0,14,7,17,36,0
March,1916,"Cities, population 10,000 to 20,000",152429,17,2,1,1,1,2,4,20,0,0,0,7,4,9,14,0
March,1916,"Cities, population 5,000 to 10,000",303296,37,4,2,0,0,5,4,41,8,0,0,7,3,27,26,0
April,1916,Indiana (statewide),2860920,306,51,38,20,13,44,22,367,76,4,1,51,19,192,194,0
April,1916,Northern counties,998000,76,18,23,10,3,24,7,133,49,0,0,15,9,67,74,0
April,1916,Central counties,1178368,140,23,10,5,7,19,13,148,20,2,0,21,9,76,78,0
April,1916,Southern counties,684552,90,10,5,5,3,1,2,86,7,2,1,15,1,49,42,0
April,1916,"Urban, population over 5,000",1308540,162,27,27,12,7,23,16,196,60,1,0,16,12,101,111,0
April,1916,"Rural, population under 5,000",1552380,144,24,11,8,6,21,6,171,16,3,1,35,7,91,83,0
April,1916,"Cities, population over 100,000",265890,42,8,3,2,3,6,5,38,10,1,0,1,6,21,20,0
April,1916,"Cities, population 45,000 to 100,000",282282,43,2,2,2,1,3,2,56,5,0,0,3,2,21,21,0
April,1916,"Cities, population 20,000 to 45,000",304643,32,11,17,3,1,7,4,53,30,0,0,4,4,21,35,0
April,1916,"Cities, population 10,000 to 20,000",152429,12,2,2,4,1,3,2,13,5,0,0,1,0,12,16,0
April,1916,"Cities, population 5,000 to 10,000",303296,33,4,3,1,1,4,3,36,10,0,0,7,0,26,19,0
May,1916,Indiana (statewide),2860920,299,52,27,9,7,37,39,206,70,2,1,28,24,182,226,0
May,1916,Northern counties,998000,80,14,12,6,3,14,7,62,42,0,0,9,6,82,81,0
May,1916,Central counties,1178368,134,30,10,0,4,20,26,112,16,2,1,10,12,74,100,0
May,1916,Southern counties,684552,85,8,5,3,0,3,6,32,12,0,0,9,6,26,45,0
May,1916,"Urban, population over 5,000",1308540,154,28,18,3,2,22,16,133,49,1,0,11,17,89,112,0
May,1916,"Rural, population under 5,000",1552380,145,24,9,6,5,15,23,73,21,1,1,17,7,93,114,0
May,1916,"Cities, population over 100,000",265890,48,10,2,0,1,7,3,38,3,1,0,1,5,19,21,0
May,1916,"Cities, population 45,000 to 100,000",282282,31,5,0,1,0,2,4,19,7,0,0,1,3,18,19,0
May,1916,"Cities, population 20,000 to 45,000",304643,36,6,10,1,0,4,2,37,26,0,0,5,5,22,33,0
May,1916,"Cities, population 10,000 to 20,000",152429,16,3,3,0,1,3,2,15,3,0,0,1,2,7,16,0
May,1916,"Cities, population 5,000 to 10,000",303296,23,4,3,1,0,6,5,24,10,0,0,3,2,23,23,0
June,1916,Indiana (statewide),2860920,270,53,17,10,4,27,26,99,78,3,0,17,18,180,242,0
June,1916,Northern counties,998000,65,14,7,5,2,10,3,48,27,1,0,5,5,68,96,0
June,1916,Central counties,1178368,116,28,6,1,2,14,12,40,20,2,0,8,9,72,93,0
June,1916,Southern counties,684552,89,11,4,4,0,3,11,11,31,0,0,4,4,40,53,0
June,1916,"Urban, population over 5,000",1308540,139,30,10,3,2,18,10,59,54,2,0,7,10,88,134,0
June,1916,"Rural, population under 5,000",1552380,131,23,7,7,2,9,16,40,24,1,0,10,8,92,108,0
June,1916,"Cities, population over 100,000",265890,43,6,0,0,2,6,1,15,6,0,0,2,3,15,29,0
June,1916,"Cities, population 45,000 to 100,000",282282,27,4,2,1,0,1,0,14,8,0,0,0,2,19,24,0
June,1916,"Cities, population 20,000 to 45,000",304643,27,8,5,1,0,2,3,18,14,1,0,2,3,23,51,0
June,1916,"Cities, population 10,000 to 20,000",152429,12,6,3,0,0,5,1,4,8,1,0,0,1,11,11,0
June,1916,"Cities, population 5,000 to 10,000",303296,30,6,0,1,0,4,5,8,18,0,0,3,1,20,19,0
July,1916,Indiana (statewide),2860920,241,49,37,5,1,13,23,65,267,3,5,5,19,198,381,0
July,1916,Northern counties,998000,62,15,18,1,0,3,4,25,87,2,3,1,6,72,174,0
July,1916,Central counties,1178368,98,22,6,3,1,8,9,27,99,1,2,2,8,96,135,0
July,1916,Southern counties,684552,81,12,13,1,0,2,10,13,81,0,0,2,5,30,72,0
July,1916,"Urban, population over 5,000",1308540,124,28,19,2,,9,10,37,182,3,4,1,10,96,207,0
July,1916,"Rural, population under 5,000",1552380,117,21,18,3,,4,13,28,85,0,1,4,9,102,174,0
July,1916,"Cities, population over 100,000",265890,33,9,4,0,,3,4,11,28,0,0,0,3,20,29,0
July,1916,"Cities, population 45,000 to 100,000",282282,28,7,3,1,,0,3,6,28,1,0,0,1,26,37,0
July,1916,"Cities, population 20,000 to 45,000",304643,20,2,11,0,,2,1,11,81,0,2,0,3,23,86,0
July,1916,"Cities, population 10,000 to 20,000",152429,12,2,0,1,,3,2,4,19,2,0,0,1,8,20,0
July,1916,"Cities, population 5,000 to 10,000",303296,31,8,1,0,,1,0,5,26,0,2,1,2,19,35,0
August,1916,Indiana (statewide),2860920,211,59,81,18,2,1,28,56,335,1,6,3,12,190,311,0
August,1916,Northern counties,998000,49,10,12,8,2,0,4,11,129,1,4,1,6,73,119,0
August,1916,Central counties,1178368,103,30,39,7,0,0,13,34,145,0,0,2,4,88,124,0
August,1916,Southern counties,684552,59,19,30,3,0,1,11,11,61,0,2,0,2,29,68,0
August,1916,"Urban, population over 5,000",1308540,114,40,42,10,1,0,14,38,207,0,4,0,9,116,176,0
August,1916,"Rural, population under 5,000",1552380,97,19,39,8,1,1,14,18,128,1,2,3,3,74,135,0
August,1916,"Cities, population over 100,000",265890,36,14,14,4,0,0,3,12,34,0,0,0,3,22,33,0
August,1916,"Cities, population 45,000 to 100,000",282282,23,7,14,4,1,0,3,6,34,0,0,0,1,30,38,0
August,1916,"Cities, population 20,000 to 45,000",304643,19,6,6,1,0,0,5,13,87,0,1,0,3,18,47,0
August,1916,"Cities, population 10,000 to 20,000",152429,15,1,3,0,0,0,0,5,19,0,0,0,1,13,22,0
August,1916,"Cities, population 5,000 to 10,000",303296,21,12,5,1,0,0,3,2,33,0,3,0,1,33,36,0
September,1916,Indiana (statewide),2860920,211,44,120,37,9,2,8,105,308,5,14,7,8,208,258,0
September,1916,Northern counties,998000,53,11,29,13,1,0,4,38,142,2,8,0,4,80,94,0
September,1916,Central counties,1178368,103,23,61,13,7,1,1,43,115,2,5,3,4,86,122,0
September,1916,Southern counties,684552,55,10,30,11,1,1,3,24,51,1,1,4,0,42,42,0
September,1916,"Urban, population over 5,000",1308540,109,27,68,16,4,1,4,65,194,3,5,3,3,101,162,0
September,1916,"Rural, population under 5,000",1552380,102,17,52,21,5,1,4,40,114,2,9,4,5,107,96,0
September,1916,"Cities, population over 100,000",265890,35,10,19,6,1,0,1,17,22,0,4,0,0,19,39,0
September,1916,"Cities, population 45,000 to 100,000",282282,23,3,18,4,0,0,1,18,37,2,0,1,0,17,30,0
September,1916,"Cities, population 20,000 to 45,000",304643,26,8,11,2,1,1,0,14,70,0,1,1,1,26,43,0
September,1916,"Cities, population 10,000 to 20,000",152429,8,3,8,0,1,0,1,5,28,0,0,1,2,14,23,0
September,1916,"Cities, population 5,000 to 10,000",303296,17,3,12,4,1,0,1,11,37,1,0,0,0,25,27,0
October,1916,Indiana (statewide),2860920,230,48,95,69,5,3,14,160,189,5,9,4,16,198,225,0
October,1916,Northern counties,998000,61,8,26,15,0,1,2,59,76,2,1,0,5,66,86,0
October,1916,Central counties,1178368,121,26,41,37,2,1,8,68,82,2,5,2,5,94,101,0
October,1916,Southern counties,684552,48,14,28,17,3,1,4,33,31,1,3,2,6,38,38,0
October,1916,"Urban, population over 5,000",1308540,130,27,39,31,2,2,8,90,112,3,5,2,9,97,132,0
