Month,Year,Region,Population,Births,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox,Syphilis
January,1925,Indiana (statewide),2930544,5237,3111,184,26,9,17,13,5,10,321,29,100,25,225,231,0,17
January,1925,Northern counties,1055563,2055,1097,49,6,5,6,9,4,5,128,10,30,8,77,85,0,6
January,1925,Central counties,1217831,2060,1376,83,16,1,5,3,0,4,126,16,40,9,93,108,0,10
January,1925,Southern counties,657150,1122,638,52,4,3,6,1,1,1,67,3,30,8,55,38,0,1
January,1925,"Rural, population under 5,000",1593230,2561,1558,101,11,2,8,6,3,3,134,9,65,10,113,93,0,4
January,1925,"Urban, population over 5,000",1337314,2676,1553,83,15,7,9,7,2,7,187,18,35,15,112,138,0,13
February,1925,Indiana (statewide),2930544,4992,3206,184,22,9,16,12,5,12,430,22,184,37,234,224,1,20
February,1925,Northern counties,1055563,1872,1120,53,6,4,10,9,3,1,167,13,50,11,91,63,1,7
February,1925,Central counties,1217831,1960,1372,87,9,2,3,2,0,7,168,5,81,21,103,79,0,10
February,1925,Southern counties,657150,1160,714,44,7,3,3,1,2,4,95,4,53,5,40,82,0,3
February,1925,"Rural, population under 5,000",1593230,2480,1657,99,8,5,7,7,3,5,177,9,94,13,124,110,1,13
February,1925,"Urban, population over 5,000",1337314,2512,1649,85,14,4,9,5,2,7,253,13,90,24,110,114,0,7
March,1925,Indiana (statewide),2930544,5615,3797,209,41,6,11,14,8,20,502,29,363,38,248,274,0,25
March,1925,Northern counties,1055563,2150,1308,64,14,1,5,6,8,8,194,15,92,11,98,76,0,9
March,1925,Central counties,1217831,2227,1611,83,19,2,1,6,0,8,216,5,191,17,96,84,0,14
March,1925,Southern counties,657150,1238,878,62,8,3,5,2,0,4,92,9,80,10,54,114,0,2
March,1925,"Rural, population under 5,000",1593230,2767,1886,103,14,4,6,8,4,4,219,15,80,15,123,139,0,12
March,1925,"Urban, population over 5,000",1337314,2848,1911,106,27,2,5,6,4,16,283,14,283,23,125,135,0,13
April,1925,Indiana (statewide),2930544,4892,3442,202,27,3,13,16,9,22,345,24,257,38,257,244,1,31
April,1925,Northern counties,1055563,1959,1316,63,7,0,6,12,7,9,165,8,95,16,99,107,0,12
April,1925,Central counties,1217831,1905,1466,86,14,2,6,2,0,7,126,11,105,13,109,82,0,15
April,1925,Southern counties,657150,1028,660,51,6,1,1,2,2,6,54,5,57,9,49,55,1,4
April,1925,"Rural, population under 5,000",1593230,2428,1678,106,14,2,8,10,3,10,151,7,154,16,135,113,1,14
April,1925,"Urban, population over 5,000",1337314,2464,1764,96,13,1,5,6,6,12,194,17,103,22,122,131,0,17
May,1925,Indiana (statewide),2930544,4923,2954,187,37,10,7,9,9,20,178,36,103,27,249,219,2,20
