Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
January,1913,Indiana (statewide),2757710,299,56,26,66,13,26,27,430,37,1,3,166,23,186,175,0
January,1913,Northern counties,950039,86,18,8,18,6,16,13,153,21,1,2,44,5,66,68,0
January,1913,Central counties,1139717,120,25,10,24,3,3,10,179,10,0,1,86,13,82,74,0
January,1913,Southern counties,667954,93,13,8,24,4,7,4,98,6,0,0,36,5,38,33,0
January,1913,"Urban, population over 5,000",1209371,139,31,14,27,8,18,15,197,25,1,0,62,10,95,88,0
January,1913,"Rural, population under 5,000",1548339,160,25,12,39,5,8,12,233,12,0,3,104,13,91,87,0
January,1913,"Cities, population over 100,000",246546,23,8,1,4,0,0,1,43,4,0,0,11,3,27,21,0
January,1913,"Cities, population 45,000 to 100,000",260199,31,7,4,4,3,1,8,36,2,0,0,4,2,17,15,0
January,1913,"Cities, population 20,000 to 45,000",134430,13,1,1,2,3,2,1,17,1,0,0,10,0,13,15,0
January,1913,"Cities, population 10,000 to 20,000",230164,20,6,6,11,1,9,4,55,14,1,0,14,1,13,25,0
January,1913,"Cities, population 5,000 to 10,000",338032,52,9,2,6,1,6,1,46,4,0,0,23,4,25,12,0
February,1913,Indiana (statewide),2757710,280,47,25,48,24,52,48,389,34,0,3,93,15,168,169,0
February,1913,Northern counties,950039,72,9,11,9,13,30,22,155,21,0,2,29,5,64,57,0
February,1913,Central counties,1139717,119,26,10,22,7,11,16,131,9,0,1,33,7,68,75,0
February,1913,Southern counties,667954,89,12,4,17,4,11,10,103,4,0,0,31,3,36,37,0
February,1913,"Urban, population over 5,000",1209371,121,24,12,19,15,21,33,186,20,0,2,32,9,79,103,0
February,1913,"Rural, population under 5,000",1548339,159,23,13,29,9,31,15,203,14,0,1,61,6,89,66,0
February,1913,"Cities, population over 100,000",246546,28,4,1,6,0,0,3,33,2,0,0,5,1,20,20,0
February,1913,"Cities, population 45,000 to 100,000",260199,27,7,2,4,5,2,12,38,3,0,0,6,1,17,32,0
February,1913,"Cities, population 20,000 to 45,000",134430,17,4,3,0,0,1,5,12,2,0,0,2,3,9,11,0
February,1913,"Cities, population 10,000 to 20,000",230164,18,4,4,5,3,14,5,58,6,0,1,5,3,16,20,0
February,1913,"Cities, population 5,000 to 10,000",338032,31,5,2,4,7,4,8,45,7,0,1,14,1,17,20,0
March,1913,Indiana (statewide),2757710,360,60,27,24,38,84,46,444,52,4,3,98,19,183,240,1
March,1913,Northern counties,950039,89,21,8,6,23,32,21,171,33,1,0,30,9,63,85,0
March,1913,Central counties,1139717,174,24,9,6,12,23,11,170,8,0,2,44,6,86,119,0
March,1913,Southern counties,667954,97,15,10,12,3,29,14,103,11,3,1,24,4,34,36,1
March,1913,"Urban, population over 5,000",1209371,189,27,13,14,25,38,26,194,39,1,0,44,7,82,145,1
March,1913,"Rural, population under 5,000",1548339,171,33,14,10,13,46,20,250,13,3,3,54,12,101,95,0
March,1913,"Cities, population over 100,000",246546,63,6,2,1,1,2,2,46,5,0,0,5,1,14,30,0
March,1913,"Cities, population 45,000 to 100,000",260199,35,8,5,3,4,6,5,40,11,0,0,7,2,18,45,0
March,1913,"Cities, population 20,000 to 45,000",134430,11,3,1,0,4,2,3,12,6,0,0,6,2,13,12,0
March,1913,"Cities, population 10,000 to 20,000",230164,39,4,1,5,11,13,9,52,13,0,0,6,1,16,21,0
March,1913,"Cities, population 5,000 to 10,000",338032,41,6,4,5,5,15,7,44,4,1,0,20,1,21,37,1
April,1913,Indiana (statewide),2769710,335,48,27,23,24,83,47,265,60,1,2,46,9,159,228,0
April,1913,Northern counties,962039,90,13,11,8,16,29,22,92,35,0,1,16,1,58,87,0
April,1913,Central counties,1139717,144,19,10,9,5,28,19,96,16,0,0,15,6,76,87,0
April,1913,Southern counties,667954,101,16,6,6,3,26,6,77,9,1,1,15,2,25,54,0
April,1913,"Urban, population over 5,000",1221371,170,25,14,12,17,63,28,140,46,1,0,15,5,71,131,0
April,1913,"Rural, population under 5,000",1548339,165,23,13,11,7,20,19,125,14,0,2,31,4,88,97,0
April,1913,"Cities, population over 100,000",246546,53,5,1,4,1,1,7,30,6,0,0,0,1,13,26,0
April,1913,"Cities, population 45,000 to 100,000",260199,32,1,3,1,8,20,3,19,3,1,0,3,1,14,27,0
April,1913,"Cities, population 20,000 to 45,000",165232,21,6,3,0,4,6,5,22,10,0,0,2,1,7,28,0
