Month,Year,Region,Total Deaths
January,1917,Indiana (statewide),3666
January,1917,Northern counties,1267
January,1917,Central counties,1587
January,1917,Southern counties,812
January,1917,Urban,1866
January,1917,Rural,1800
January,1917,"Cities, class 1",403
January,1917,"Cities, class 2",333
January,1917,"Cities, class 3",446
January,1917,"Cities, class 4",218
January,1917,"Cities, class 5",466
February,1917,Indiana (statewide),3786
February,1917,Northern counties,1277
February,1917,Central counties,1602
February,1917,Southern counties,907
February,1917,Urban,1907
February,1917,Rural,1879
February,1917,"Cities, class 1",423
February,1917,"Cities, class 2",379
February,1917,"Cities, class 3",508
February,1917,"Cities, class 4",189
February,1917,"Cities, class 5",408
March,1917,Indiana (statewide),4016
March,1917,Northern counties,1424
March,1917,Central counties,1696
March,1917,Southern counties,896
March,1917,Urban,2093
March,1917,Rural,1923
March,1917,"Cities, class 1",441
March,1917,"Cities, class 2",407
March,1917,"Cities, class 3",597
March,1917,"Cities, class 4",241
March,1917,"Cities, class 5",407
April,1917,Indiana (statewide),3432
April,1917,Northern counties,1137
April,1917,Central counties,1508
April,1917,Southern counties,787
April,1917,Urban,1833
April,1917,Rural,1599
April,1917,"Cities, class 1",433
April,1917,"Cities, class 2",370
April,1917,"Cities, class 3",475
April,1917,"Cities, class 4",198
April,1917,"Cities, class 5",357
May,1917,Indiana (statewide),3279
May,1917,Northern counties,1174
May,1917,Central counties,1441
May,1917,Southern counties,664
May,1917,Urban,1766
May,1917,Rural,1513
May,1917,"Cities, class 1",389
May,1917,"Cities, class 2",335
May,1917,"Cities, class 3",522
May,1917,"Cities, class 4",166
May,1917,"Cities, class 5",354
June,1917,Indiana (statewide),2781
June,1917,Northern counties,1024
June,1917,Central counties,1201
June,1917,Southern counties,556
June,1917,Urban,1496
June,1917,Rural,1285
June,1917,"Cities, class 1",335
June,1917,"Cities, class 2",314
June,1917,"Cities, class 3",361
June,1917,"Cities, class 4",176
June,1917,"Cities, class 5",310
July,1917,Indiana (statewide),2919
July,1917,Northern counties,951
July,1917,Central counties,1316
July,1917,Southern counties,652
July,1917,Urban,1553
July,1917,Rural,1366
July,1917,"Cities, class 1",363
July,1917,"Cities, class 2",294
July,1917,"Cities, class 3",413
July,1917,"Cities, class 4",151
July,1917,"Cities, class 5",332
August,1917,Indiana (statewide),2989
August,1917,Northern counties,995
August,1917,Central counties,1317
August,1917,Southern counties,677
August,1917,Urban,1629
August,1917,Rural,1360
August,1917,"Cities, class 1",359
August,1917,"Cities, class 2",333
August,1917,"Cities, class 3",452
August,1917,"Cities, class 4",146
August,1917,"Cities, class 5",339
September,1917,Indiana (statewide),3053
September,1917,Northern counties,1099
September,1917,Central counties,1317
September,1917,Southern counties,637
September,1917,Urban,1558
September,1917,Rural,1495
September,1917,"Cities, class 1",354
September,1917,"Cities, class 2",311
September,1917,"Cities, class 3",392
September,1917,"Cities, class 4",180
September,1917,"Cities, class 5",321
October,1917,Indiana (statewide),2991
October,1917,Northern counties,1022
October,1917,Central counties,1299
October,1917,Southern counties,670
October,1917,Urban,1597
October,1917,Rural,1394
October,1917,"Cities, class 1",357
October,1917,"Cities, class 2",335
October,1917,"Cities, class 3",410
October,1917,"Cities, class 4",179
October,1917,"Cities, class 5",316
November,1917,Indiana (statewide),2818
November,1917,Northern counties,959
November,1917,Central counties,1215
November,1917,Southern counties,644
November,1917,Urban,1550
November,1917,Rural,1268
November,1917,"Cities, class 1",327
November,1917,"Cities, class 2",324
November,1917,"Cities, class 3",391
November,1917,"Cities, class 4",159
November,1917,"Cities, class 5",349
December,1917,Indiana (statewide),3221
December,1917,Northern counties,1067
December,1917,Central counties,1452
December,1917,Southern counties,702
December,1917,Urban,1766
December,1917,Rural,1455
December,1917,"Cities, class 1",403
December,1917,"Cities, class 2",352
December,1917,"Cities, class 3",436
December,1917,"Cities, class 4",196
December,1917,"Cities, class 5",379
